id_match,home_team,away_team,home_result,away_result,result,date,round,city,edition
53,Austria (Österreich),Hungary (Magyarország),2.0,1.0,Austria (Österreich),1934-05-31,1/4_FINAL,Bologna,1934
54,Czechoslovakia (Československo),Switzerland (Schweiz / Suisse),3.0,2.0,Czechoslovakia (Československo),1934-05-31,1/4_FINAL,Torino,1934
55,Germany (Deutschland),Sweden (Sverige),2.0,1.0,Germany (Deutschland),1934-05-31,1/4_FINAL,Milano,1934
56,Italy (Italia),Spain (España),1.0,1.0,draw,1934-05-31,1/4_FINAL,Firenze,1934
57,Italy (Italia),Spain (España),1.0,0.0,Italy (Italia),1934-06-01,1/4_FINAL,Firenze,1934
58,Czechoslovakia (Československo),Germany (Deutschland),3.0,1.0,Czechoslovakia (Československo),1934-06-03,1/2_FINAL,Roma,1934
59,Italy (Italia),Austria (Österreich),1.0,0.0,Italy (Italia),1934-06-03,1/2_FINAL,Milano,1934
60,Germany (Deutschland),Austria (Österreich),3.0,2.0,Germany (Deutschland),1934-06-07,PLACES_3&4,Napoli,1934
61,Italy (Italia),Czechoslovakia (Československo),2.0,1.0,Italy (Italia),1934-06-10,_FINAL,Roma,1934
62,Austria (Österreich),Latvia (Latvija),2.0,1.0,Austria (Österreich),1937-01-01,PRELIMINARY-Europe,Wien,1937
63,Bulgaria (България),Czechoslovakia (Československo),1.0,1.0,draw,1937-01-01,PRELIMINARY-Europe,Sofija,1937
64,Finland (Suomi),Estonia (Eesti),0.0,1.0,Estonia (Eesti),1937-01-01,PRELIMINARY-Europe,Turku,1937
65,Finland (Suomi),Germany (Deutschland),0.0,2.0,Germany (Deutschland),1937-01-01,PRELIMINARY-Europe,Helsinki,1937
66,Germany (Deutschland),Estonia (Eesti),4.0,1.0,Germany (Deutschland),1937-01-01,PRELIMINARY-Europe,Königsberg,1937
67,Germany (Deutschland),Sweden (Sverige),5.0,0.0,Germany (Deutschland),1937-01-01,PRELIMINARY-Europe,Hamburg,1937
68,Irish Free State (Saorstát Éireann),Norway (Norge),3.0,3.0,draw,1937-01-01,PRELIMINARY-Europe,Dublin,1937
69,Latvia (Latvija),Lithuania (Lietuva),4.0,2.0,Latvia (Latvija),1937-01-01,PRELIMINARY-Europe,Rīga,1937
70,Lithuania (Lietuva),Latvia (Latvija),1.0,5.0,Latvia (Latvija),1937-01-01,PRELIMINARY-Europe,Kaunas,1937
71,Netherlands (Nederland),Luxembourg (Lëtzebuerg),4.0,0.0,Netherlands (Nederland),1937-01-01,PRELIMINARY-Europe,Rotterdam,1937
72,Norway (Norge),Irish Free State (Saorstát Éireann),3.0,2.0,Norway (Norge),1937-01-01,PRELIMINARY-Europe,Oslo,1937
73,Poland (Polska),Yugoslavia (Југославија),4.0,0.0,Poland (Polska),1937-01-01,PRELIMINARY-Europe,Warszawa,1937
74,Sweden (Sverige),Estonia (Eesti),7.0,2.0,Sweden (Sverige),1937-01-01,PRELIMINARY-Europe,Stockholm,1937
75,Sweden (Sverige),Finland (Suomi),4.0,0.0,Sweden (Sverige),1937-01-01,PRELIMINARY-Europe,Stockholm,1937
76,Belgium (België),Netherlands (Nederland),1.0,1.0,draw,1938-01-01,PRELIMINARY-Europe,Antwerpen,1938
77,Czechoslovakia (Československo),Bulgaria (България),6.0,0.0,Czechoslovakia (Československo),1938-01-01,PRELIMINARY-Europe,Praha,1938
78,Greece (Ελλάδα),Palestine (فلسطين),1.0,0.0,Greece (Ελλάδα),1938-01-01,PRELIMINARY-Eur./N.E.,Athína,1938
79,Hungary (Magyarország),Greece (Ελλάδα),11.0,1.0,Hungary (Magyarország),1938-01-01,PRELIMINARY-Eur./N.E.,Budapest,1938
80,Luxembourg (Lëtzebuerg),Belgium (België),2.0,3.0,Belgium (België),1938-01-01,PRELIMINARY-Europe,Luxembourg,1938
81,Palestine (فلسطين),Greece (Ελλάδα),1.0,3.0,Greece (Ελλάδα),1938-01-01,PRELIMINARY-Eur./N.E.,Tel Aviv,1938
82,Switzerland (Schweiz / Suisse),Portugal,2.0,1.0,Switzerland (Schweiz / Suisse),1938-01-01,PRELIMINARY-Europe,Milano,1938
83,Yugoslavia (Југославија),Poland (Polska),1.0,0.0,Yugoslavia (Југославија),1938-01-01,PRELIMINARY-Europe,Beograd,1938
84,Switzerland (Schweiz / Suisse),Germany (Deutschland),1.0,1.0,draw,1938-06-04,FIRST,Paris,1938
85,Brazil (Brasil),Poland (Polska),6.0,5.0,Brazil (Brasil),1938-06-05,FIRST,Strasbourg,1938
86,Cuba,Romania (România),3.0,3.0,draw,1938-06-05,FIRST,Toulouse,1938
87,Czechoslovakia (Československo),Netherlands (Nederland),3.0,0.0,Czechoslovakia (Československo),1938-06-05,FIRST,Le_Havre,1938
88,France,Belgium (België),3.0,1.0,France,1938-06-05,FIRST,Paris,1938
89,Hungary (Magyarország),Dutch East Indies (Nederlands-Indië),6.0,0.0,Hungary (Magyarország),1938-06-05,FIRST,Reims,1938
90,Italy (Italia),Norway (Norge),2.0,1.0,Italy (Italia),1938-06-05,FIRST,Marseille,1938
91,Cuba,Romania (România),2.0,1.0,Cuba,1938-06-09,FIRST,Toulouse,1938
92,Switzerland (Schweiz / Suisse),Germany (Deutschland),4.0,2.0,Switzerland (Schweiz / Suisse),1938-06-09,FIRST,Paris,1938
93,Brazil (Brasil),Czechoslovakia (Československo),1.0,1.0,draw,1938-06-12,1/4_FINAL,Bordeaux,1938
94,Hungary (Magyarország),Switzerland (Schweiz / Suisse),2.0,0.0,Hungary (Magyarország),1938-06-12,1/4_FINAL,Lille,1938
95,Italy (Italia),France,3.0,1.0,Italy (Italia),1938-06-12,1/4_FINAL,Paris,1938
96,Sweden (Sverige),Cuba,8.0,0.0,Sweden (Sverige),1938-06-12,1/4_FINAL,Antibes,1938
97,Brazil (Brasil),Czechoslovakia (Československo),2.0,1.0,Brazil (Brasil),1938-06-14,1/4_FINAL,Bordeaux,1938
98,Hungary (Magyarország),Sweden (Sverige),5.0,1.0,Hungary (Magyarország),1938-06-16,1/2_FINAL,Paris,1938
99,Italy (Italia),Brazil (Brasil),2.0,1.0,Italy (Italia),1938-06-16,1/2_FINAL,Marseille,1938
100,Brazil (Brasil),Sweden (Sverige),4.0,2.0,Brazil (Brasil),1938-06-19,PLACES_3&4,Bordeaux,1938
101,Italy (Italia),Hungary (Magyarország),4.0,2.0,Italy (Italia),1938-06-19,_FINAL,Paris,1938
102,Cuba,Mexico (México),0.0,3.0,Mexico (México),1949-01-01,PRELIMINARY-N/C.America,México D.F,1949
103,Cuba,USA,1.0,1.0,draw,1949-01-01,PRELIMINARY-N/C.America,México D.F,1949
104,England,Northern Ireland (Ulster),9.0,2.0,England,1949-01-01,PRELIMINARY-Europe,Manchester,1949
105,Finland (Suomi),Ireland (Éire),1.0,1.0,draw,1949-01-01,PRELIMINARY-Europe,Helsinki,1949
106,France,Yugoslavia (Југославија),1.0,1.0,draw,1949-01-01,PRELIMINARY-Eur./N.E.,Paris,1949
107,Ireland (Éire),Finland (Suomi),3.0,0.0,Ireland (Éire),1949-01-01,PRELIMINARY-Europe,Dublin,1949
108,Ireland (Éire),Sweden (Sverige),1.0,3.0,Sweden (Sverige),1949-01-01,PRELIMINARY-Europe,Dublin,1949
109,Israel (ישראל),Yugoslavia (Југославија),2.0,5.0,Yugoslavia (Југославија),1949-01-01,PRELIMINARY-Eur./N.E.,Tel Aviv,1949
110,Luxembourg (Lëtzebuerg),Switzerland (Schweiz / Suisse),2.0,3.0,Switzerland (Schweiz / Suisse),1949-01-01,PRELIMINARY-Europe,Luxembourg,1949
111,Mexico (México),Cuba,2.0,0.0,Mexico (México),1949-01-01,PRELIMINARY-N/C.America,México D.F,1949
112,Mexico (México),USA,6.0,2.0,Mexico (México),1949-01-01,PRELIMINARY-N/C.America,México D.F,1949
113,Northern Ireland (Ulster),Scotland,2.0,8.0,Scotland,1949-01-01,PRELIMINARY-Europe,Belfast,1949
114,Scotland,Wales (Cymru),2.0,0.0,Scotland,1949-01-01,PRELIMINARY-Europe,Glasgow,1949
115,Sweden (Sverige),Finland (Suomi),8.0,1.0,Sweden (Sverige),1949-01-01,PRELIMINARY-Europe,Malmö,1949
116,Sweden (Sverige),Ireland (Éire),3.0,1.0,Sweden (Sverige),1949-01-01,PRELIMINARY-Europe,Stockholm,1949
117,Switzerland (Schweiz / Suisse),Luxembourg (Lëtzebuerg),5.0,2.0,Switzerland (Schweiz / Suisse),1949-01-01,PRELIMINARY-Europe,Zürich,1949
118,Turkey (Türkiye),Syria (سوريا),7.0,0.0,Turkey (Türkiye),1949-01-01,PRELIMINARY-Eur./N.E.,Ankara,1949
119,USA,Cuba,5.0,2.0,USA,1949-01-01,PRELIMINARY-N/C.America,México D.F,1949
120,USA,Mexico (México),0.0,6.0,Mexico (México),1949-01-01,PRELIMINARY-N/C.America,México D.F,1949
