id_match,home_team,away_team,home_result,away_result,result,date,round,city,edition,edition_year,is_placeholder_date,home_team_id,away_team_id
50,Belgium,Netherlands,1.0,3.0,Netherlands,1934-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1938-FRANCE,1938,True,25,161
51,Czechoslovakia,Bulgaria,1.0,1.0,draw,1934-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1938-FRANCE,1938,True,60,36
52,Greece,Palestine,0.0,6.0,Palestine,1934-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1938-FRANCE,1938,True,99,173
53,Switzerland,Germany,1.0,1.0,draw,1938-06-04,FIRST,Paris,1938-FRANCE,1938,False,216,97
54,Brazil,Poland,6.0,5.0,Brazil,1938-06-05,FIRST,Strasbourg,1938-FRANCE,1938,False,33,179
55,Cuba,Romania,3.0,3.0,draw,1938-06-05,FIRST,Toulouse,1938-FRANCE,1938,False,56,184
56,Czechoslovakia,Netherlands,3.0,0.0,Czechoslovakia,1938-06-05,FIRST,Le_Havre,1938-FRANCE,1938,False,60,161
57,France,Belgium,3.0,1.0,France,1938-06-05,FIRST,Paris,1938-FRANCE,1938,False,90,25
58,Hungary,Dutch East Indies,6.0,0.0,Hungary,1938-06-05,FIRST,Reims,1938-FRANCE,1938,False,112,71
59,Italy,Norway,2.0,1.0,Italy,1938-06-05,FIRST,Marseille,1938-FRANCE,1938,False,121,170
60,Cuba,Romania,2.0,1.0,Cuba,1938-06-09,FIRST,Toulouse,1938-FRANCE,1938,False,56,184
61,Switzerland,Germany,4.0,2.0,Switzerland,1938-06-09,FIRST,Paris,1938-FRANCE,1938,False,216,97
62,Brazil,Czechoslovakia,1.0,1.0,draw,1938-06-12,1/4_FINAL,Bordeaux,1938-FRANCE,1938,False,33,60
63,Hungary,Switzerland,2.0,0.0,Hungary,1938-06-12,1/4_FINAL,Lille,1938-FRANCE,1938,False,112,216
64,Italy,France,3.0,1.0,Italy,1938-06-12,1/4_FINAL,Paris,1938-FRANCE,1938,False,121,90
65,Sweden,Cuba,8.0,0.0,Sweden,1938-06-12,1/4_FINAL,Antibes,1938-FRANCE,1938,False,215,56
66,Brazil,Czechoslovakia,2.0,1.0,Brazil,1938-06-14,1/4_FINAL,Bordeaux,1938-FRANCE,1938,False,33,60
67,Hungary,Sweden,5.0,1.0,Hungary,1938-06-16,1/2_FINAL,Paris,1938-FRANCE,1938,False,112,215
68,Italy,Brazil,2.0,1.0,Italy,1938-06-16,1/2_FINAL,Marseille,1938-FRANCE,1938,False,121,33
69,Brazil,Sweden,4.0,2.0,Brazil,1938-06-19,PLACES_3&4,Bordeaux,1938-FRANCE,1938,False,33,215
70,Italy,Hungary,4.0,2.0,Italy,1938-06-19,_FINAL,Paris,1938-FRANCE,1938,False,121,112
71,Finland,Ireland,5.0,2.0,Finland,1934-01-01,PRELIMINARY-Europe,Amsterdam,1950-BRAZIL,1950,True,89,118
72,Ireland,Finland,1.0,2.0,Finland,1934-01-01,PRELIMINARY-Europe,Lisboa,1950-BRAZIL,1950,True,118,89
73,Ireland,Sweden,2.0,1.0,Ireland,1934-01-01,PRELIMINARY-Europe,Bucuresti,1950-BRAZIL,1950,True,118,215
74,Israel,Yugoslavia,9.0,0.0,Israel,1934-01-01,PRELIMINARY-Europe,Madrid,1950-BRAZIL,1950,True,120,248
