home_team,away_team,home_result,away_result,date,round,city,edition
Iceland (Ísland),Belgium (België),0.0,4.0,1972-01-01,PRELIMINARY-Europe,Brugge,1972
Sweden (Sverige),Hungary (Magyarország),0.0,0.0,1972-01-01,PRELIMINARY-Europe,Stockholm,1972
Zambia,Lesotho,6.0,1.0,1972-01-01,PRELIMINARY-Africa,Ndola,1972
Togo,Zaire (Zaïre),0.0,0.0,1972-01-01,PRELIMINARY-Africa,Lomé,1972
Austria (Österreich),Sweden (Sverige),2.0,0.0,1972-01-01,PRELIMINARY-Europe,Wien,1972
Dahomey,Ghana,0.0,5.0,1972-01-01,PRELIMINARY-Africa,Cotonou,1972
Zaire (Zaïre),Togo,4.0,0.0,1972-01-01,PRELIMINARY-Africa,Kinshasa,1972
Finland (Suomi),Albania (Shqipëri),1.0,0.0,1972-01-01,PRELIMINARY-Europe,Helsinki,1972
Ghana,Dahomey,5.0,1.0,1972-01-01,PRELIMINARY-Africa,Kumasi,1972
Kenya,Sudan (السودان),2.0,0.0,1972-01-01,PRELIMINARY-Africa,Nairobi,1972
Sudan (السودان),Kenya,1.0,0.0,1972-01-01,PRELIMINARY-Africa,Khartoum,1972
Norway (Norge),Iceland (Ísland),4.0,1.0,1972-01-01,PRELIMINARY-Europe,Stavanger,1972
Nigeria,Congo,2.0,1.0,1972-01-01,PRELIMINARY-Africa,Ibadan,1972
Congo,Nigeria,1.0,1.0,1972-01-01,PRELIMINARY-Africa,Brazzaville,1972
Canada,USA,3.0,2.0,1972-01-01,PRELIMINARY-N/C.America,St._Johns,1972
Canada,Mexico (México),0.0,1.0,1972-01-01,PRELIMINARY-N/C.America,Toronto,1972
USA,Canada,2.0,2.0,1972-01-01,PRELIMINARY-N/C.America,Baltimore,1972
Mexico (México),USA,3.0,1.0,1972-01-01,PRELIMINARY-N/C.America,México D.F,1972
Mexico (México),Canada,2.0,1.0,1972-01-01,PRELIMINARY-N/C.America,México D.F,1972
USA,Mexico (México),1.0,2.0,1972-01-01,PRELIMINARY-N/C.America,Los Angeles,1972
Finland (Suomi),Romania (România),1.0,1.0,1972-01-01,PRELIMINARY-Europe,Helsinki,1972
Norway (Norge),Belgium (België),0.0,2.0,1972-01-01,PRELIMINARY-Europe,Oslo,1972
Luxembourg (Lëtzebuerg),Italy (Italia),0.0,4.0,1972-01-01,PRELIMINARY-Europe,Luxembourg,1972
GDR (DDR / Ostdeutschland),Finland (Suomi),5.0,0.0,1972-01-01,PRELIMINARY-Europe,Dresden,1972
France,Soviet Union (СССР),1.0,0.0,1972-01-01,PRELIMINARY-Europe,Paris,1972
Austria (Österreich),Hungary (Magyarország),2.0,2.0,1972-01-01,PRELIMINARY-Europe,Wien,1972
Sweden (Sverige),Malta,7.0,0.0,1972-01-01,PRELIMINARY-Europe,Göteborg,1972
Sierra Leone,Ivory Coast (Côte d'Ivoire),0.0,1.0,1972-01-01,PRELIMINARY-Africa,Freetown,1972
Bulgaria (България),Northern Ireland (Ulster),3.0,0.0,1972-01-01,PRELIMINARY-Europe,Sofija,1972
Denmark (Danmark),Scotland,1.0,4.0,1972-01-01,PRELIMINARY-Europe,København,1972
Ireland (Éire),Soviet Union (СССР),1.0,2.0,1972-01-01,PRELIMINARY-Europe,Dublin,1972
Spain (España),Yugoslavia (Југославија),2.0,2.0,1972-01-01,PRELIMINARY-Europe,Las Palmas,1972
Switzerland (Schweiz / Suisse),Italy (Italia),0.0,0.0,1972-01-01,PRELIMINARY-Europe,Bern,1972
Luxembourg (Lëtzebuerg),Turkey (Türkiye),2.0,0.0,1972-01-01,PRELIMINARY-Europe,Luxembourg,1972
Romania (România),Albania (Shqipëri),2.0,0.0,1972-01-01,PRELIMINARY-Europe,Bucureşti,1972
Ivory Coast (Côte d'Ivoire),Sierra Leone,2.0,0.0,1972-01-01,PRELIMINARY-Africa,Abidjan,1972
Netherlands (Nederland),Norway (Norge),9.0,0.0,1972-01-01,PRELIMINARY-Europe,Rotterdam,1972
Trinidad and Tobago,Antigua,11.0,1.0,1972-01-01,PRELIMINARY-N/C.America,Port_of_Spain,1972
Wales (Cymru),England,0.0,1.0,1972-01-01,PRELIMINARY-Europe,Cardiff,1972
Scotland,Denmark (Danmark),2.0,0.0,1972-01-01,PRELIMINARY-Europe,Glasgow,1972
Ireland (Éire),France,2.0,1.0,1972-01-01,PRELIMINARY-Europe,Dublin,1972
Yugoslavia (Југославија),Greece (Ελλάδα),1.0,0.0,1972-01-01,PRELIMINARY-Europe,Beograd,1972
Belgium (België),Netherlands (Nederland),0.0,0.0,1972-01-01,PRELIMINARY-Europe,Antwerpen,1972
Cyprus (Κύπρος),Bulgaria (България),0.0,4.0,1972-01-01,PRELIMINARY-Europe,Lemesós,1972
Antigua,Trinidad and Tobago,1.0,2.0,1972-01-01,PRELIMINARY-N/C.America,St._Johns,1972
Morocco (المغرب),Senegal (Sénégal),0.0,0.0,1972-01-01,PRELIMINARY-Africa,Rabat,1972
Malta,Austria (Österreich),0.0,2.0,1972-01-01,PRELIMINARY-Europe,Valletta,1972
Tanzania,Ethiopia (ኢትዮጵያ),1.0,1.0,1972-01-01,PRELIMINARY-Africa,Dar es Salaam,1972
Trinidad and Tobago,Dutch Guyana (Nederlands Guyana),2.0,1.0,1972-01-01,PRELIMINARY-N/C.America,Port_of_Spain,1972
Dutch Guyana (Nederlands Guyana),Trinidad and Tobago,1.0,1.0,1972-01-01,PRELIMINARY-N/C.America,San_Fernando,1972
Guatemala,El Salvador,1.0,0.0,1972-01-01,PRELIMINARY-N/C.America,Guatemala,1972
Honduras,Costa Rica,2.0,1.0,1972-01-01,PRELIMINARY-N/C.America,Tegucigalpa,1972
Dutch Guyana (Nederlands Guyana),Antigua,6.0,0.0,1972-01-01,PRELIMINARY-N/C.America,St._Johns,1972
Senegal (Sénégal),Morocco (المغرب),1.0,2.0,1972-01-01,PRELIMINARY-Africa,Dakar,1972
Ethiopia (ኢትዮጵያ),Tanzania,0.0,0.0,1972-01-01,PRELIMINARY-Africa,Addis Ababa,1972
Antigua,Dutch Guyana (Nederlands Guyana),1.0,3.0,1972-01-01,PRELIMINARY-N/C.America,St._Johns,1972
Egypt (مصر),Tunisia (تونس),2.0,1.0,1972-01-01,PRELIMINARY-Africa,Cairo,1972
Turkey (Türkiye),Luxembourg (Lëtzebuerg),3.0,0.0,1972-01-01,PRELIMINARY-Europe,İstanbul,1972
El Salvador,Guatemala,0.0,1.0,1972-01-01,PRELIMINARY-N/C.America,San_Salvador,1972
Costa Rica,Honduras,3.0,3.0,1972-01-01,PRELIMINARY-N/C.America,San_José,1972
Ethiopia (ኢትዮጵያ),Tanzania,3.0,0.0,1972-01-01,PRELIMINARY-Africa,Addis Ababa,1972
Mauritius,Kenya,1.0,3.0,1972-01-01,PRELIMINARY-Africa,Curepipe,1972
Tunisia (تونس),Egypt (مصر),2.0,0.0,1972-01-01,PRELIMINARY-Africa,Tunis,1972
Kenya,Mauritius,2.0,2.0,1972-01-01,PRELIMINARY-Africa,Nairobi,1972
Italy (Italia),Turkey (Türkiye),0.0,0.0,1973-01-01,PRELIMINARY-Europe,Napoli,1973
Greece (Ελλάδα),Spain (España),2.0,3.0,1973-01-01,PRELIMINARY-Europe,Athína,1973
England,Wales (Cymru),1.0,1.0,1973-01-01,PRELIMINARY-Europe,London,1973
Cameroon (Cameroun),Zaire (Zaïre),0.0,1.0,1973-01-01,PRELIMINARY-Africa,Douala,1973
Nigeria,Ghana,0.0,2.0,1973-01-01,PRELIMINARY-Africa,Lagos,1973
Guinea (Guinée),Morocco (المغرب),1.0,1.0,1973-01-01,PRELIMINARY-Africa,Conakry,1973
Tunisia (تونس),Ivory Coast (Côte d'Ivoire),1.0,1.0,1973-01-01,PRELIMINARY-Africa,Tunis,1973
Cyprus (Κύπρος),Northern Ireland (Ulster),1.0,0.0,1973-01-01,PRELIMINARY-Europe,Levkosía,1973
Spain (España),Greece (Ελλάδα),3.0,1.0,1973-01-01,PRELIMINARY-Europe,Málaga,1973
Ghana,Nigeria,0.0,0.0,1973-01-01,PRELIMINARY-Africa,Accra,1973
Turkey (Türkiye),Italy (Italia),0.0,1.0,1973-01-01,PRELIMINARY-Europe,İstanbul,1973
Morocco (المغرب),Guinea (Guinée),2.0,0.0,1973-01-01,PRELIMINARY-Africa,Tétouan,1973
Ivory Coast (Côte d'Ivoire),Tunisia (تونس),2.0,1.0,1973-01-01,PRELIMINARY-Africa,Abidjan,1973
Zaire (Zaïre),Cameroon (Cameroun),0.0,1.0,1973-01-01,PRELIMINARY-Africa,Kinshasa,1973
Zaire (Zaïre),Cameroon (Cameroun),2.0,0.0,1973-01-01,PRELIMINARY-Africa,Kinshasa,1973
New Zealand (Aotearoa),Australia,1.0,1.0,1973-01-01,PRELIMINARY-As./O.,Auckland,1973
Australia,Iraq (العراق),3.0,1.0,1973-01-01,PRELIMINARY-As./O.,Sydney,1973
Indonesia,New Zealand (Aotearoa),1.0,1.0,1973-01-01,PRELIMINARY-As./O.,Sydney,1973
Australia,Indonesia,2.0,1.0,1973-01-01,PRELIMINARY-As./O.,Sydney,1973
Iraq (العراق),New Zealand (Aotearoa),2.0,0.0,1973-01-01,PRELIMINARY-As./O.,Sydney,1973
Iraq (العراق),Indonesia,1.0,1.0,1973-01-01,PRELIMINARY-As./O.,Sydney,1973
Australia,New Zealand (Aotearoa),3.0,3.0,1973-01-01,PRELIMINARY-As./O.,Sydney,1973
Australia,Iraq (العراق),0.0,0.0,1973-01-01,PRELIMINARY-As./O.,Melbourne,1973
Indonesia,New Zealand (Aotearoa),1.0,0.0,1973-01-01,PRELIMINARY-As./O.,Melbourne,1973
Iraq (العراق),Indonesia,3.0,2.0,1973-01-01,PRELIMINARY-As./O.,Sydney,1973
Australia,Indonesia,6.0,0.0,1973-01-01,PRELIMINARY-As./O.,Sydney,1973
Iraq (العراق),New Zealand (Aotearoa),4.0,0.0,1973-01-01,PRELIMINARY-As./O.,Sydney,1973
Wales (Cymru),Poland (Polska),2.0,0.0,1973-01-01,PRELIMINARY-Europe,Cardiff,1973
Northern Ireland (Ulster),Portugal,1.0,1.0,1973-01-01,PRELIMINARY-Europe,Coventry,1973
Italy (Italia),Luxembourg (Lëtzebuerg),5.0,0.0,1973-01-01,PRELIMINARY-Europe,Genova,1973
Ethiopia (ኢትዮጵያ),Zambia,0.0,0.0,1973-01-01,PRELIMINARY-Africa,Addis Ababa,1973
Luxembourg (Lëtzebuerg),Switzerland (Schweiz / Suisse),0.0,1.0,1973-01-01,PRELIMINARY-Europe,Luxembourg,1973
GDR (DDR / Ostdeutschland),Albania (Shqipëri),2.0,0.0,1973-01-01,PRELIMINARY-Europe,Magdeburg,1973
Zambia,Ethiopia (ኢትዮጵያ),4.0,2.0,1973-01-01,PRELIMINARY-Africa,Lusaka,1973
Hungary (Magyarország),Austria (Österreich),2.0,2.0,1973-01-01,PRELIMINARY-Europe,Budapest,1973
Peru (Perú),Chile,2.0,0.0,1973-01-01,PRELIMINARY-S.America,Lima,1973
Bulgaria (България),Portugal,2.0,1.0,1973-01-01,PRELIMINARY-Europe,Sofija,1973
Denmark (Danmark),Czechoslovakia (Československo),1.0,1.0,1973-01-01,PRELIMINARY-Europe,København,1973
Iran (ایران),North Korea (조선),0.0,0.0,1973-01-01,PRELIMINARY-As./O.,Tehran,1973
Syria (سوريا),Kuwait (الكويت),2.0,1.0,1973-01-01,PRELIMINARY-As./O.,Tehran,1973
Albania (Shqipëri),Romania (România),1.0,4.0,1973-01-01,PRELIMINARY-Europe,Tiranë,1973
Iran (ایران),Kuwait (الكويت),2.0,1.0,1973-01-01,PRELIMINARY-As./O.,Tehran,1973
North Korea (조선),Syria (سوريا),1.0,1.0,1973-01-01,PRELIMINARY-As./O.,Tehran,1973
Northern Ireland (Ulster),Cyprus (Κύπρος),3.0,0.0,1973-01-01,PRELIMINARY-Europe,London,1973
North Korea (조선),Kuwait (الكويت),0.0,0.0,1973-01-01,PRELIMINARY-As./O.,Tehran,1973
Iran (ایران),Syria (سوريا),1.0,0.0,1973-01-01,PRELIMINARY-As./O.,Tehran,1973
Switzerland (Schweiz / Suisse),Turkey (Türkiye),0.0,0.0,1973-01-01,PRELIMINARY-Europe,Basel,1973
Iran (ایران),North Korea (조선),2.0,1.0,1973-01-01,PRELIMINARY-As./O.,Tehran,1973
Syria (سوريا),Kuwait (الكويت),2.0,0.0,1973-01-01,PRELIMINARY-As./O.,Tehran,1973
Soviet Union (СССР),Ireland (Éire),1.0,0.0,1973-01-01,PRELIMINARY-Europe,Moskva,1973
Chile,Peru (Perú),2.0,0.0,1973-01-01,PRELIMINARY-S.America,Santiago,1973
Iran (ایران),Kuwait (الكويت),2.0,0.0,1973-01-01,PRELIMINARY-As./O.,Tehran,1973
North Korea (조선),Syria (سوريا),3.0,0.0,1973-01-01,PRELIMINARY-As./O.,Tehran,1973
Hong Kong (香港),Japan (日本),1.0,0.0,1973-01-01,PRELIMINARY-As./O.,Seoul,1973
Syria (سوريا),Iran (ایران),1.0,0.0,1973-01-01,PRELIMINARY-As./O.,Tehran,1973
Kuwait (الكويت),North Korea (조선),2.0,0.0,1973-01-01,PRELIMINARY-As./O.,Tehran,1973
Israel (ישראל),Japan (日本),2.0,1.0,1973-01-01,PRELIMINARY-As./O.,Seoul,1973
South Vietnam (Việt Nam),Thailand (ประเทศไทย),1.0,0.0,1973-01-01,PRELIMINARY-As./O.,Seoul,1973
Hong Kong (香港),Malaysia (مليسيا),1.0,0.0,1973-01-01,PRELIMINARY-As./O.,Seoul,1973
France,Ireland (Éire),1.0,1.0,1973-01-01,PRELIMINARY-Europe,Paris,1973
South Korea (한국),Thailand (ประเทศไทย),4.0,0.0,1973-01-01,PRELIMINARY-As./O.,Seoul,1973
Israel (ישראל),Malaysia (مليسيا),3.0,0.0,1973-01-01,PRELIMINARY-As./O.,Seoul,1973
Ivory Coast (Côte d'Ivoire),Morocco (المغرب),1.0,1.0,1973-01-01,PRELIMINARY-Africa,Abidjan,1973
Japan (日本),South Vietnam (Việt Nam),4.0,0.0,1973-01-01,PRELIMINARY-As./O.,Seoul,1973
South Korea (한국),Malaysia (مليسيا),0.0,0.0,1973-01-01,PRELIMINARY-As./O.,Seoul,1973
Israel (ישראל),Thailand (ประเทศไทย),6.0,0.0,1973-01-01,PRELIMINARY-As./O.,Seoul,1973
Sweden (Sverige),Austria (Österreich),3.0,2.0,1973-01-01,PRELIMINARY-Europe,Göteborg,1973
South Korea (한국),Israel (ישראל),0.0,0.0,1973-01-01,PRELIMINARY-As./O.,Seoul,1973
Malaysia (مليسيا),Thailand (ประเทศไทย),2.0,0.0,1973-01-01,PRELIMINARY-As./O.,Seoul,1973
Hong Kong (香港),South Vietnam (Việt Nam),1.0,0.0,1973-01-01,PRELIMINARY-As./O.,Seoul,1973
Soviet Union (СССР),France,2.0,0.0,1973-01-01,PRELIMINARY-Europe,Moskva,1973
South Korea (한국),Hong Kong (香港),3.0,1.0,1973-01-01,PRELIMINARY-As./O.,Seoul,1973
Israel (ישראל),Japan (日本),1.0,0.0,1973-01-01,PRELIMINARY-As./O.,Seoul,1973
Romania (România),GDR (DDR / Ostdeutschland),1.0,0.0,1973-01-01,PRELIMINARY-Europe,Bucureşti,1973
South Korea (한국),Israel (ישראל),1.0,0.0,1973-01-01,PRELIMINARY-As./O.,Seoul,1973
Morocco (المغرب),Ivory Coast (Côte d'Ivoire),4.0,1.0,1973-01-01,PRELIMINARY-Africa,Tétouan,1973
Finland (Suomi),GDR (DDR / Ostdeutschland),1.0,5.0,1973-01-01,PRELIMINARY-Europe,Tampere,1973
Poland (Polska),England,2.0,0.0,1973-01-01,PRELIMINARY-Europe,Chorzów,1973
Czechoslovakia (Československo),Denmark (Danmark),6.0,0.0,1973-01-01,PRELIMINARY-Europe,Praha,1973
Hungary (Magyarország),Sweden (Sverige),3.0,3.0,1973-01-01,PRELIMINARY-Europe,Budapest,1973
Colombia,Ecuador,1.0,1.0,1973-01-01,PRELIMINARY-S.America,Bogotá,1973
Colombia,Uruguay,0.0,0.0,1973-01-01,PRELIMINARY-S.America,Bogotá,1973
Ecuador,Colombia,1.0,1.0,1973-01-01,PRELIMINARY-S.America,Guayaquil,1973
Ecuador,Uruguay,1.0,2.0,1973-01-01,PRELIMINARY-S.America,Quito,1973
Uruguay,Colombia,0.0,1.0,1973-01-01,PRELIMINARY-S.America,Montevideo,1973
Uruguay,Ecuador,4.0,0.0,1973-01-01,PRELIMINARY-S.America,Montevideo,1973
Iceland (Ísland),Norway (Norge),0.0,4.0,1973-01-01,PRELIMINARY-Europe,Reykjavík,1973
Chile,Peru (Perú),2.0,1.0,1973-01-01,PRELIMINARY-S.America,Montevideo,1973
Ghana,Zaire (Zaïre),1.0,0.0,1973-01-01,PRELIMINARY-Africa,Accra,1973
Zambia,Kenya,2.0,0.0,1973-01-01,PRELIMINARY-Africa,Ndola,1973
Australia,Iran (ایران),3.0,0.0,1973-01-01,PRELIMINARY-As./O.,Sydney,1973
Kenya,Zambia,2.0,2.0,1973-01-01,PRELIMINARY-Africa,Nairobi,1973
Zaire (Zaïre),Ghana,4.0,1.0,1973-01-01,PRELIMINARY-Africa,Kinshasa,1973
Netherlands (Nederland),Iceland (Ísland),5.0,0.0,1973-01-01,PRELIMINARY-Europe,Amsterdam,1973
Iran (ایران),Australia,2.0,0.0,1973-01-01,PRELIMINARY-As./O.,Tehran,1973
Iceland (Ísland),Netherlands (Nederland),1.0,8.0,1973-01-01,PRELIMINARY-Europe,Deventer,1973
Bolivia,Paraguay,1.0,2.0,1973-01-01,PRELIMINARY-S.America,La_Paz,1973
Argentina,Bolivia,4.0,0.0,1973-01-01,PRELIMINARY-S.America,Buenos Aires,1973
Norway (Norge),Netherlands (Nederland),1.0,2.0,1973-01-01,PRELIMINARY-Europe,Oslo,1973
Paraguay,Argentina,1.0,1.0,1973-01-01,PRELIMINARY-S.America,Asunción,1973
Bolivia,Argentina,0.0,1.0,1973-01-01,PRELIMINARY-S.America,La_Paz,1973
Switzerland (Schweiz / Suisse),Luxembourg (Lëtzebuerg),1.0,0.0,1973-01-01,PRELIMINARY-Europe,Luzern,1973
GDR (DDR / Ostdeutschland),Romania (România),2.0,0.0,1973-01-01,PRELIMINARY-Europe,Leipzig,1973
Poland (Polska),Wales (Cymru),3.0,0.0,1973-01-01,PRELIMINARY-Europe,Chorzów,1973
Northern Ireland (Ulster),Bulgaria (България),0.0,0.0,1973-01-01,PRELIMINARY-Europe,Sheffield,1973
Scotland,Czechoslovakia (Československo),2.0,1.0,1973-01-01,PRELIMINARY-Europe,Glasgow,1973
Soviet Union (СССР),Chile,0.0,0.0,1973-01-01,PRELIMINARY-S.America,Moskva,1973
Paraguay,Bolivia,4.0,0.0,1973-01-01,PRELIMINARY-S.America,Asunción,1973
Argentina,Paraguay,3.0,1.0,1973-01-01,PRELIMINARY-S.America,Buenos Aires,1973
Albania (Shqipëri),Finland (Suomi),1.0,0.0,1973-01-01,PRELIMINARY-Europe,Tiranë,1973
Portugal,Bulgaria (България),2.0,2.0,1973-01-01,PRELIMINARY-Europe,Lisboa,1973
Romania (România),Finland (Suomi),9.0,0.0,1973-01-01,PRELIMINARY-Europe,Bucureşti,1973
England,Poland (Polska),1.0,1.0,1973-01-01,PRELIMINARY-Europe,London,1973
Czechoslovakia (Československo),Scotland,1.0,0.0,1973-01-01,PRELIMINARY-Europe,Bratislava,1973
Italy (Italia),Switzerland (Schweiz / Suisse),2.0,0.0,1973-01-01,PRELIMINARY-Europe,Roma,1973
Yugoslavia (Југославија),Spain (España),0.0,0.0,1973-01-01,PRELIMINARY-Europe,Zagreb,1973
Zambia,Morocco (المغرب),4.0,0.0,1973-01-01,PRELIMINARY-Africa,Lusaka,1973
Australia,South Korea (한국),0.0,0.0,1973-01-01,PRELIMINARY-As./O.,Sydney,1973
Belgium (België),Norway (Norge),2.0,0.0,1973-01-01,PRELIMINARY-Europe,Bruxelles,1973
Albania (Shqipëri),GDR (DDR / Ostdeutschland),1.0,4.0,1973-01-01,PRELIMINARY-Europe,Tiranë,1973
Zambia,Zaire (Zaïre),0.0,2.0,1973-01-01,PRELIMINARY-Africa,Lusaka,1973
South Korea (한국),Australia,2.0,2.0,1973-01-01,PRELIMINARY-As./O.,Seoul,1973
Malta,Sweden (Sverige),1.0,2.0,1973-01-01,PRELIMINARY-Europe,Valletta,1973
Australia,South Korea (한국),1.0,0.0,1973-01-01,PRELIMINARY-As./O.,Hong Kong,1973
Portugal,Northern Ireland (Ulster),1.0,1.0,1973-01-01,PRELIMINARY-Europe,Lisboa,1973
Turkey (Türkiye),Switzerland (Schweiz / Suisse),2.0,0.0,1973-01-01,PRELIMINARY-Europe,İzmir,1973
Netherlands (Nederland),Belgium (België),0.0,0.0,1973-01-01,PRELIMINARY-Europe,Amsterdam,1973
Bulgaria (България),Cyprus (Κύπρος),2.0,0.0,1973-01-01,PRELIMINARY-Europe,Sofija,1973
Zaire (Zaïre),Zambia,2.0,1.0,1973-01-01,PRELIMINARY-Africa,Kinshasa,1973
Morocco (المغرب),Zambia,2.0,0.0,1973-01-01,PRELIMINARY-Africa,Tétouan,1973
Sweden (Sverige),Austria (Österreich),2.0,1.0,1973-01-01,PRELIMINARY-Europe,Gelsenkirchen,1973
Honduras,Trinidad and Tobago,2.0,1.0,1973-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1973
Mexico (México),Guatemala,0.0,0.0,1973-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1973
Haiti (Haïti),Dutch Antilles (Nederlandse Antillen),3.0,0.0,1973-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1973
Honduras,Mexico (México),1.0,1.0,1973-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1973
Haiti (Haïti),Trinidad and Tobago,2.0,1.0,1973-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1973
Dutch Antilles (Nederlandse Antillen),Guatemala,2.0,2.0,1973-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1973
Honduras,Haiti (Haïti),0.0,1.0,1973-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1973
Mexico (México),Dutch Antilles (Nederlandse Antillen),8.0,0.0,1973-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1973
Zaire (Zaïre),Morocco (المغرب),3.0,0.0,1973-01-01,PRELIMINARY-Africa,Kinshasa,1973
Trinidad and Tobago,Guatemala,1.0,0.0,1973-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1973
Honduras,Dutch Antilles (Nederlandse Antillen),2.0,2.0,1973-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1973
Haiti (Haïti),Guatemala,2.0,1.0,1973-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1973
Trinidad and Tobago,Mexico (México),4.0,0.0,1973-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1973
Guatemala,Honduras,1.0,1.0,1973-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1973
Trinidad and Tobago,Dutch Antilles (Nederlandse Antillen),4.0,0.0,1973-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1973
Mexico (México),Haiti (Haïti),1.0,0.0,1973-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1973
Greece (Ελλάδα),Yugoslavia (Југославија),2.0,4.0,1973-01-01,PRELIMINARY-Europe,Athína,1973
Morocco (المغرب),Zaire (Zaïre),0.0,2.0,1973-01-01,PRELIMINARY-Africa,Tétouan,1973
Yugoslavia (Југославија),Spain (España),1.0,0.0,1974-01-01,PRELIMINARY-Europe,Frankfurt am Main,1974
Brazil (Brasil),Yugoslavia (Југославија),0.0,0.0,1974-01-01,GROUP_STAGE,Frankfurt am Main,1974
FRG (BRD / Westdeutschland),Chile,1.0,0.0,1974-01-01,GROUP_STAGE,West-Berlin,1974
GDR (DDR / Ostdeutschland),Australia,2.0,0.0,1974-01-01,GROUP_STAGE,Hamburg,1974
Zaire (Zaïre),Scotland,0.0,2.0,1974-01-01,GROUP_STAGE,Dortmund,1974
Sweden (Sverige),Bulgaria (България),0.0,0.0,1974-01-01,GROUP_STAGE,Düsseldorf,1974
Uruguay,Netherlands (Nederland),0.0,2.0,1974-01-01,GROUP_STAGE,Hannover,1974
Italy (Italia),Haiti (Haïti),3.0,1.0,1974-01-01,GROUP_STAGE,München,1974
Poland (Polska),Argentina,3.0,2.0,1974-01-01,GROUP_STAGE,Stuttgart,1974
Australia,FRG (BRD / Westdeutschland),0.0,3.0,1974-01-01,GROUP_STAGE,Hamburg,1974
Chile,GDR (DDR / Ostdeutschland),1.0,1.0,1974-01-01,GROUP_STAGE,West-Berlin,1974
Yugoslavia (Југославија),Zaire (Zaïre),9.0,0.0,1974-01-01,GROUP_STAGE,Gelsenkirchen,1974
Scotland,Brazil (Brasil),0.0,0.0,1974-01-01,GROUP_STAGE,Frankfurt am Main,1974
Netherlands (Nederland),Sweden (Sverige),0.0,0.0,1974-01-01,GROUP_STAGE,Dortmund,1974
Bulgaria (България),Uruguay,1.0,1.0,1974-01-01,GROUP_STAGE,Hannover,1974
Haiti (Haïti),Poland (Polska),0.0,7.0,1974-01-01,GROUP_STAGE,München,1974
Argentina,Italy (Italia),1.0,1.0,1974-01-01,GROUP_STAGE,Stuttgart,1974
Australia,Chile,0.0,0.0,1974-01-01,GROUP_STAGE,West-Berlin,1974
Zaire (Zaïre),Brazil (Brasil),0.0,3.0,1974-01-01,GROUP_STAGE,Gelsenkirchen,1974
Scotland,Yugoslavia (Југославија),1.0,1.0,1974-01-01,GROUP_STAGE,Frankfurt am Main,1974
GDR (DDR / Ostdeutschland),FRG (BRD / Westdeutschland),1.0,0.0,1974-01-01,GROUP_STAGE,Hamburg,1974
Bulgaria (България),Netherlands (Nederland),1.0,4.0,1974-01-01,GROUP_STAGE,Dortmund,1974
Sweden (Sverige),Uruguay,3.0,0.0,1974-01-01,GROUP_STAGE,Düsseldorf,1974
Argentina,Haiti (Haïti),4.0,1.0,1974-01-01,GROUP_STAGE,München,1974
Poland (Polska),Italy (Italia),2.0,1.0,1974-01-01,GROUP_STAGE,Stuttgart,1974
Yugoslavia (Југославија),FRG (BRD / Westdeutschland),0.0,2.0,1974-01-01,SEMIFINAL_STAGE,Düsseldorf,1974
Netherlands (Nederland),Argentina,4.0,0.0,1974-01-01,SEMIFINAL_STAGE,Gelsenkirchen,1974
Brazil (Brasil),GDR (DDR / Ostdeutschland),1.0,0.0,1974-01-01,SEMIFINAL_STAGE,Hannover,1974
Sweden (Sverige),Poland (Polska),0.0,1.0,1974-01-01,SEMIFINAL_STAGE,Stuttgart,1974
GDR (DDR / Ostdeutschland),Netherlands (Nederland),0.0,2.0,1974-01-01,SEMIFINAL_STAGE,Gelsenkirchen,1974
Argentina,Brazil (Brasil),1.0,2.0,1974-01-01,SEMIFINAL_STAGE,Hannover,1974
Poland (Polska),Yugoslavia (Југославија),2.0,1.0,1974-01-01,SEMIFINAL_STAGE,Frankfurt am Main,1974
FRG (BRD / Westdeutschland),Sweden (Sverige),4.0,2.0,1974-01-01,SEMIFINAL_STAGE,Düsseldorf,1974
Poland (Polska),FRG (BRD / Westdeutschland),0.0,1.0,1974-01-01,SEMIFINAL_STAGE,Frankfurt am Main,1974
Netherlands (Nederland),Brazil (Brasil),2.0,0.0,1974-01-01,SEMIFINAL_STAGE,Dortmund,1974
Argentina,GDR (DDR / Ostdeutschland),1.0,1.0,1974-01-01,SEMIFINAL_STAGE,Gelsenkirchen,1974
Sweden (Sverige),Yugoslavia (Југославија),2.0,1.0,1974-01-01,SEMIFINAL_STAGE,Düsseldorf,1974
Poland (Polska),Brazil (Brasil),1.0,0.0,1974-01-01,PLACES_3&4,München,1974
