home_team,away_team,home_result,away_result,date,round,city,edition
Sweden (Sverige),Estonia (Eesti),7.0,2.0,1937-01-01,PRELIMINARY-Europe,Stockholm,1937
Finland (Suomi),Germany (Deutschland),0.0,2.0,1937-01-01,PRELIMINARY-Europe,Helsinki,1937
Latvia (Latvija),Lithuania (Lietuva),4.0,2.0,1937-01-01,PRELIMINARY-Europe,Rīga,1937
Finland (Suomi),Estonia (Eesti),0.0,1.0,1937-01-01,PRELIMINARY-Europe,Turku,1937
Germany (Deutschland),Estonia (Eesti),4.0,1.0,1937-01-01,PRELIMINARY-Europe,Königsberg,1937
Lithuania (Lietuva),Latvia (Latvija),1.0,5.0,1937-01-01,PRELIMINARY-Europe,Kaunas,1937
Austria (Österreich),Latvia (Latvija),2.0,1.0,1937-01-01,PRELIMINARY-Europe,Wien,1937
Norway (Norge),Irish Free State (Saorstát Éireann),3.0,2.0,1937-01-01,PRELIMINARY-Europe,Oslo,1937
Poland (Polska),Yugoslavia (Југославија),4.0,0.0,1937-01-01,PRELIMINARY-Europe,Warszawa,1937
Irish Free State (Saorstát Éireann),Norway (Norge),3.0,3.0,1937-01-01,PRELIMINARY-Europe,Dublin,1937
Bulgaria (България),Czechoslovakia (Československo),1.0,1.0,1937-01-01,PRELIMINARY-Europe,Sofija,1937
Germany (Deutschland),Sweden (Sverige),5.0,0.0,1937-01-01,PRELIMINARY-Europe,Hamburg,1937
Netherlands (Nederland),Luxembourg (Lëtzebuerg),4.0,0.0,1937-01-01,PRELIMINARY-Europe,Rotterdam,1937
Palestine (فلسطين),Greece (Ελλάδα),1.0,3.0,1938-01-01,PRELIMINARY-Eur./N.E.,Tel Aviv,1938
Greece (Ελλάδα),Palestine (فلسطين),1.0,0.0,1938-01-01,PRELIMINARY-Eur./N.E.,Athína,1938
Luxembourg (Lëtzebuerg),Belgium (België),2.0,3.0,1938-01-01,PRELIMINARY-Europe,Luxembourg,1938
Hungary (Magyarország),Greece (Ελλάδα),11.0,1.0,1938-01-01,PRELIMINARY-Eur./N.E.,Budapest,1938
Yugoslavia (Југославија),Poland (Polska),1.0,0.0,1938-01-01,PRELIMINARY-Europe,Beograd,1938
Belgium (België),Netherlands (Nederland),1.0,1.0,1938-01-01,PRELIMINARY-Europe,Antwerpen,1938
Czechoslovakia (Československo),Bulgaria (България),6.0,0.0,1938-01-01,PRELIMINARY-Europe,Praha,1938
Switzerland (Schweiz / Suisse),Portugal,2.0,1.0,1938-01-01,PRELIMINARY-Europe,Milano,1938
Switzerland (Schweiz / Suisse),Germany (Deutschland),1.0,1.0,1938-01-01,FIRST,Paris,1938
Italy (Italia),Norway (Norge),2.0,1.0,1938-01-01,FIRST,Marseille,1938
France,Belgium (België),3.0,1.0,1938-01-01,FIRST,Paris,1938
Hungary (Magyarország),Dutch East Indies (Nederlands-Indië),6.0,0.0,1938-01-01,FIRST,Reims,1938
Cuba,Romania (România),3.0,3.0,1938-01-01,FIRST,Toulouse,1938
Brazil (Brasil),Poland (Polska),6.0,5.0,1938-01-01,FIRST,Strasbourg,1938
Czechoslovakia (Československo),Netherlands (Nederland),3.0,0.0,1938-01-01,FIRST,Le_Havre,1938
Switzerland (Schweiz / Suisse),Germany (Deutschland),4.0,2.0,1938-01-01,FIRST,Paris,1938
Cuba,Romania (România),2.0,1.0,1938-01-01,FIRST,Toulouse,1938
Italy (Italia),France,3.0,1.0,1938-01-01,1/4_FINAL,Paris,1938
Brazil (Brasil),Czechoslovakia (Československo),1.0,1.0,1938-01-01,1/4_FINAL,Bordeaux,1938
Hungary (Magyarország),Switzerland (Schweiz / Suisse),2.0,0.0,1938-01-01,1/4_FINAL,Lille,1938
Sweden (Sverige),Cuba,8.0,0.0,1938-01-01,1/4_FINAL,Antibes,1938
Brazil (Brasil),Czechoslovakia (Československo),2.0,1.0,1938-01-01,1/4_FINAL,Bordeaux,1938
Italy (Italia),Brazil (Brasil),2.0,1.0,1938-01-01,1/2_FINAL,Marseille,1938
Hungary (Magyarország),Sweden (Sverige),5.0,1.0,1938-01-01,1/2_FINAL,Paris,1938
Brazil (Brasil),Sweden (Sverige),4.0,2.0,1938-01-01,PLACES_3&4,Bordeaux,1938
Italy (Italia),Hungary (Magyarország),4.0,2.0,1938-01-01,_FINAL,Paris,1938
Sweden (Sverige),Ireland (Éire),3.0,1.0,1949-01-01,PRELIMINARY-Europe,Stockholm,1949
Switzerland (Schweiz / Suisse),Luxembourg (Lëtzebuerg),5.0,2.0,1949-01-01,PRELIMINARY-Europe,Zürich,1949
Yugoslavia (Југославија),Israel (ישראל),6.0,0.0,1949-01-01,PRELIMINARY-Eur./N.E.,Beograd,1949
USA,Mexico (México),0.0,6.0,1949-01-01,PRELIMINARY-N/C.America,México D.F,1949
Ireland (Éire),Finland (Suomi),3.0,0.0,1949-01-01,PRELIMINARY-Europe,Dublin,1949
Mexico (México),Cuba,2.0,0.0,1949-01-01,PRELIMINARY-N/C.America,México D.F,1949
Cuba,USA,1.0,1.0,1949-01-01,PRELIMINARY-N/C.America,México D.F,1949
Israel (ישראל),Yugoslavia (Југославија),2.0,5.0,1949-01-01,PRELIMINARY-Eur./N.E.,Tel Aviv,1949
Luxembourg (Lëtzebuerg),Switzerland (Schweiz / Suisse),2.0,3.0,1949-01-01,PRELIMINARY-Europe,Luxembourg,1949
Mexico (México),USA,6.0,2.0,1949-01-01,PRELIMINARY-N/C.America,México D.F,1949
USA,Cuba,5.0,2.0,1949-01-01,PRELIMINARY-N/C.America,México D.F,1949
Cuba,Mexico (México),0.0,3.0,1949-01-01,PRELIMINARY-N/C.America,México D.F,1949
Northern Ireland (Ulster),Scotland,2.0,8.0,1949-01-01,PRELIMINARY-Europe,Belfast,1949
Sweden (Sverige),Finland (Suomi),8.0,1.0,1949-01-01,PRELIMINARY-Europe,Malmö,1949
Yugoslavia (Југославија),France,1.0,1.0,1949-01-01,PRELIMINARY-Eur./N.E.,Beograd,1949
