home_team,away_team,home_result,away_result,date,round,city,edition
Russia,Saudi Arabia,5,0,2018-06-14T18:00:00+03:00,Group,Moscow,2018
Egypt,Uruguay,0,1,2018-06-15T17:00:00+05:00,Group,Yekaterinburg,2018
Russia,Egypt,3,1,2018-06-19T21:00:00+03:00,Group,Saint Petersburg,2018
Uruguay,Saudi Arabia,1,0,2018-06-20T18:00:00+03:00,Group,Rostov-on-Don,2018
Uruguay,Russia,3,0,2018-06-25T18:00:00+04:00,Group,Samara,2018
Saudi Arabia,Egypt,2,1,2018-06-25T17:00:00+03:00,Group,Volgograd,2018
Portugal,Spain,3,3,2018-06-15T21:00:00+03:00,Group,Sochi,2018
Morocco,Iran,0,1,2018-06-15T18:00:00+03:00,Group,Saint Petersburg,2018
Portugal,Morocco,1,0,2018-06-20T15:00:00+03:00,Group,Moscow,2018
Iran,Spain,0,1,2018-06-20T21:00:00+03:00,Group,Kazan,2018
Iran,Portugal,1,1,2018-06-25T21:00:00+03:00,Group,Saransk,2018
Spain,Morocco,2,2,2018-06-25T20:00:00+02:00,Group,Kaliningrad,2018
France,Australia,2,1,2018-06-16T13:00:00+03:00,Group,Kazan,2018
Peru,Denmark,0,1,2018-06-16T19:00:00+03:00,Group,Saransk,2018
France,Peru,1,0,2018-06-21T20:00:00+05:00,Group,Yekaterinburg,2018
Denmark,Australia,1,1,2018-06-21T16:00:00+04:00,Group,Samara,2018
Denmark,France,0,0,2018-06-26T17:00:00+03:00,Group,Moscow,2018
Australia,Peru,0,2,2018-06-26T17:00:00+03:00,Group,Sochi,2018
Argentina,Iceland,1,1,2018-06-16T16:00:00+03:00,Group,Moscow,2018
Croatia,Nigeria,2,0,2018-06-16T21:00:00+02:00,Group,Kaliningrad,2018
Argentina,Croatia,0,3,2018-06-21T21:00:00+03:00,Group,Nizhny Novgorod,2018
Nigeria,Iceland,2,0,2018-06-22T18:00:00+03:00,Group,Volgograd,2018
Nigeria,Argentina,1,2,2018-06-26T21:00:00+03:00,Group,Saint Petersburg,2018
Iceland,Croatia,1,2,2018-06-26T21:00:00+03:00,Group,Rostov-on-Don,2018
Brazil,Switzerland,1,1,2018-06-17T21:00:00+03:00,Group,Rostov-on-Don,2018
Costa Rica,Serbia,0,1,2018-06-17T16:00:00+04:00,Group,Samara,2018
Brazil,Costa Rica,2,0,2018-06-22T15:00:00+03:00,Group,Saint Petersburg,2018
Serbia,Switzerland,1,2,2018-06-22T20:00:00+02:00,Group,Kaliningrad,2018
