home_team,away_team,home_result,away_result,date,round,city,edition
Brazil,Croatia,3,1,2014-06-12,Group A,Sao Paulo,2014
Mexico,Cameroon,1,0,2014-06-13,Group A,Natal,2014
Spain,Netherlands,1,5,2014-06-13,Group B,Salvador,2014
Chile,Australia,3,1,2014-06-13,Group B,Cuiaba,2014
Colombia,Greece,3,0,2014-06-14,Group C,Belo Horizonte,2014
Uruguay,Costa Rica,1,3,2014-06-14,Group D,Fortaleza,2014
England,Italy,1,2,2014-06-14,Group D,Manaus,2014
C�te d'Ivoire,Japan,2,1,2014-06-14,Group C,Recife,2014
Switzerland,Ecuador,2,1,2014-06-15,Group E,Brasilia,2014
France,Honduras,3,0,2014-06-15,Group E,Porto Alegre,2014
Argentina,"rn"">Bosnia and Herzegovina",2,1,2014-06-15,Group F,Rio De Janeiro,2014
Germany,Portugal,4,0,2014-06-16,Group G,Salvador,2014
IR Iran,Nigeria,0,0,2014-06-16,Group F,Curitiba,2014
Ghana,USA,1,2,2014-06-16,Group G,Natal,2014
Belgium,Algeria,2,1,2014-06-17,Group H,Belo Horizonte,2014
Brazil,Mexico,0,0,2014-06-17,Group A,Fortaleza,2014
Russia,Korea Republic,1,1,2014-06-17,Group H,Cuiaba,2014
Australia,Netherlands,2,3,2014-06-18,Group B,Porto Alegre,2014
Spain,Chile,0,2,2014-06-18,Group B,Rio De Janeiro,2014
Cameroon,Croatia,0,4,2014-06-18,Group A,Manaus,2014
Colombia,C�te d'Ivoire,2,1,2014-06-19,Group C,Brasilia,2014
Uruguay,England,2,1,2014-06-19,Group D,Sao Paulo,2014
Japan,Greece,0,0,2014-06-19,Group C,Natal,2014
Italy,Costa Rica,0,1,2014-06-20,Group D,Recife,2014
Switzerland,France,2,5,2014-06-20,Group E,Salvador,2014
Honduras,Ecuador,1,2,2014-06-20,Group E,Curitiba,2014
Argentina,IR Iran,1,0,2014-06-21,Group F,Belo Horizonte,2014
Germany,Ghana,2,2,2014-06-21,Group G,Fortaleza,2014
Nigeria,"rn"">Bosnia and Herzegovina",1,0,2014-06-21,Group F,Cuiaba,2014
Belgium,Russia,1,0,2014-06-22,Group H,Rio De Janeiro,2014
Korea Republic,Algeria,2,4,2014-06-22,Group H,Porto Alegre,2014
USA,Portugal,2,2,2014-06-22,Group G,Manaus,2014
Australia,Spain,0,3,2014-06-23,Group B,Curitiba,2014
Netherlands,Chile,2,0,2014-06-23,Group B,Sao Paulo,2014
Cameroon,Brazil,1,4,2014-06-23,Group A,Brasilia,2014
Croatia,Mexico,1,3,2014-06-23,Group A,Recife,2014
Italy,Uruguay,0,1,2014-06-24,Group D,Natal,2014
Costa Rica,England,0,0,2014-06-24,Group D,Belo Horizonte,2014
Japan,Colombia,1,4,2014-06-24,Group C,Cuiaba,2014
Greece,C�te d'Ivoire,2,1,2014-06-24,Group C,Fortaleza,2014
Nigeria,Argentina,2,3,2014-06-25,Group F,Porto Alegre,2014
"rn"">Bosnia and Herzegovina",IR Iran,3,1,2014-06-25,Group F,Salvador,2014
Honduras,Switzerland,0,3,2014-06-25,Group E,Manaus,2014
Ecuador,France,0,0,2014-06-25,Group E,Rio De Janeiro,2014
USA,Germany,0,1,2014-06-26,Group G,Recife,2014
Portugal,Ghana,2,1,2014-06-26,Group G,Brasilia,2014
Korea Republic,Belgium,0,1,2014-06-26,Group H,Sao Paulo,2014
Algeria,Russia,1,1,2014-06-26,Group H,Curitiba,2014
Brazil,Chile,1,1,2014-06-28,Round of 16,Belo Horizonte,2014
Colombia,Uruguay,2,0,2014-06-28,Round of 16,Rio De Janeiro,2014
France,Nigeria,2,0,2014-06-30,Round of 16,Brasilia,2014
Germany,Algeria,2,1,2014-06-30,Round of 16,Porto Alegre,2014
Brazil,Colombia,2,1,2014-07-04,Quarter-finals,Fortaleza,2014
France,Germany,0,1,2014-07-04,Quarter-finals,Rio De Janeiro,2014
Brazil,Germany,1,7,2014-07-08,Semi-finals,Belo Horizonte,2014
Brazil,Netherlands,0,3,2014-07-12,Play-off for third place,Brasilia,2014
Germany,Argentina,1,0,2014-07-13,Final,Rio De Janeiro,2014
Netherlands,Argentina,0,0,2014-07-09,Semi-finals,Sao Paulo,2014
Netherlands,Costa Rica,0,0,2014-07-05,Quarter-finals,Salvador,2014
Argentina,Belgium,1,0,2014-07-05,Quarter-finals,Brasilia,2014
Netherlands,Mexico,2,1,2014-06-29,Round of 16,Fortaleza,2014
Costa Rica,Greece,1,1,2014-06-29,Round of 16,Recife,2014
Argentina,Switzerland,1,0,2014-07-01,Round of 16,Sao Paulo,2014
Belgium,USA,2,1,2014-07-01,Round of 16,Salvador,2014
