id_match,home_team,away_team,home_result,away_result,result,date,round,city,edition
1,Argentina,USA,6,1,Argentina,1930-01-01,1/2_FINAL,Montevideo,1930
2,USA,Belgium (België),3,0,USA,1930-01-01,GROUP_STAGE,Montevideo,1930
3,USA,Paraguay,3,0,USA,1930-01-01,GROUP_STAGE,Montevideo,1930
4,France,Mexico (México),4,1,France,1930-07-13,GROUP_STAGE,Montevideo,1930
5,Romania (România),Peru (Perú),3,1,Romania (România),1930-07-14,GROUP_STAGE,Montevideo,1930
6,Yugoslavia (Југославија),Brazil (Brasil),2,1,Yugoslavia (Југославија),1930-07-14,GROUP_STAGE,Montevideo,1930
7,Argentina,France,1,0,Argentina,1930-07-15,GROUP_STAGE,Montevideo,1930
8,Chile,Mexico (México),3,0,Chile,1930-07-16,GROUP_STAGE,Montevideo,1930
9,Yugoslavia (Југославија),Bolivia,4,0,Yugoslavia (Југославија),1930-07-17,GROUP_STAGE,Montevideo,1930
10,Uruguay,Peru (Perú),1,0,Uruguay,1930-07-18,GROUP_STAGE,Montevideo,1930
11,Argentina,Mexico (México),6,3,Argentina,1930-07-19,GROUP_STAGE,Montevideo,1930
12,Chile,France,1,0,Chile,1930-07-19,GROUP_STAGE,Montevideo,1930
13,Brazil (Brasil),Bolivia,4,0,Brazil (Brasil),1930-07-20,GROUP_STAGE,Montevideo,1930
14,Paraguay,Belgium (België),1,0,Paraguay,1930-07-20,GROUP_STAGE,Montevideo,1930
15,Uruguay,Romania (România),4,0,Uruguay,1930-07-21,GROUP_STAGE,Montevideo,1930
16,Argentina,Chile,3,1,Argentina,1930-07-22,GROUP_STAGE,Montevideo,1930
17,Uruguay,Yugoslavia (Југославија),6,1,Uruguay,1930-07-27,1/2_FINAL,Montevideo,1930
18,Uruguay,Argentina,4,2,Uruguay,1930-07-30,_FINAL,Montevideo,1930
19,Lithuania (Lietuva),Sweden (Sverige),,,Sweden (Sverige),,,,1933
20,Poland (Polska),Czechoslovakia (Československo),,,Czechoslovakia (Československo),,,,1933
21,Sweden (Sverige),Estonia (Eesti),,,Sweden (Sverige),,,,1933
22,Switzerland (Schweiz / Suisse),Romania (România),,,Switzerland (Schweiz / Suisse),,,,1933
23,Yugoslavia (Југославија),Switzerland (Schweiz / Suisse),,,draw,,,,1933
24,Austria (Österreich),Bulgaria (България),,,Austria (Österreich),,,,1934
25,Belgium (België),Netherlands (Nederland),,,Netherlands (Nederland),,,,1934
26,Bulgaria (България),Hungary (Magyarország),,,Hungary (Magyarország),,,,1934
27,Egypt (مصر),Palestine (فلسطين),,,Egypt (مصر),,,,1934
28,Haiti (Haïti),Cuba,,,Cuba,,,,1934
29,Haiti (Haïti),Cuba,,,draw,,,,1934
30,Haiti (Haïti),Cuba,,,Cuba,,,,1934
31,Hungary (Magyarország),Bulgaria (България),,,Hungary (Magyarország),,,,1934
32,Irish Free State (Saorstát Éireann),Belgium (België),,,draw,,,,1934
33,Italy (Italia),Greece (Ελλάδα),,,Italy (Italia),,,,1934
34,Italy (Italia),USA,0,2,Italy (Italia),1933-01-01,PRELIMINARY-Europe,Kaunas,1934
35,Luxembourg (Lëtzebuerg),France,1,2,France,1933-01-01,PRELIMINARY-Europe,Warszawa,1934
36,Luxembourg (Lëtzebuerg),Germany (Deutschland),6,2,Germany (Deutschland),1933-01-01,PRELIMINARY-Europe,Stockholm,1934
37,Mexico (México),Cuba,2,0,Mexico (México),1933-01-01,PRELIMINARY-Europe,Bern,1934
38,Mexico (México),Cuba,2,2,Mexico (México),1933-01-01,PRELIMINARY-Europe,Beograd,1934
39,Mexico (México),Cuba,6,1,Mexico (México),1934-01-01,PRELIMINARY-Europe,Wien,1934
40,Netherlands (Nederland),Irish Free State (Saorstát Éireann),2,4,Netherlands (Nederland),1934-01-01,PRELIMINARY-Europe,Antwerpen,1934
41,Palestine (فلسطين),Egypt (مصر),1,4,Egypt (مصر),1934-01-01,PRELIMINARY-Europe,Sofija,1934
42,Portugal,Spain (España),7,1,Spain (España),1934-01-01,PRELIMINARY-N.E.,Cairo,1934
43,Romania (România),Yugoslavia (Југославија),1,3,Romania (România),1934-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1934
44,Spain (España),Portugal,1,1,Spain (España),1934-01-01,PRELIMINARY-N/C.America,Port-au-Prince,1934
