id_match,id_team,Number_of_goals_scored,Number_of_goals_conceded
397,95,3,1
398,212,2,1
399,68,1,0
400,212,2,1
401,68,2,1
402,160,2,1
403,207,0,0
404,216,2,1
405,218,2,0
406,175,6,3
407,2,2,1
408,2,2,0
409,10,5,0
410,10,2,4
411,13,3,2
412,14,5,0
413,14,1,1
414,21,0,0
415,21,1,2
416,25,3,6
417,25,1,2
418,31,3,0
419,31,4,1
420,31,0,3
421,41,4,4
422,41,0,2
423,41,2,1
424,43,1,1
425,43,6,1
426,47,0,9
427,47,3,0
428,47,2,1
429,47,2,2
430,50,3,4
431,50,2,1
432,52,2,0
433,52,2,1
434,54,3,3
435,54,0,2
436,54,1,1
437,57,3,1
438,57,1,0
439,61,1,0
440,61,1,0
441,63,6,0
442,63,1,0
443,65,1,0
444,65,7,1
445,73,4,0
446,76,4,2
447,76,2,0
448,76,0,0
449,77,4,1
450,77,2,0
451,78,2,3
452,78,2,1
453,84,2,1
454,93,0,2
455,93,5,1
456,95,2,3
457,95,1,1
458,101,0,0
459,103,2,1
460,103,2,0
461,104,3,3
462,104,1,3
463,105,0,3
464,105,1,0
465,105,2,4
466,105,6,0
467,120,0,2
468,131,4,2
469,131,4,1
470,131,7,0
471,131,1,0
472,141,1,0
473,141,0,1
474,147,1,1
475,149,0,3
476,149,2,0
477,150,0,3
478,150,0,1
479,150,0,0
480,156,1,1
481,156,1,1
482,157,1,1
483,157,6,0
484,159,3,2
485,159,4,1
486,159,1,3
487,160,5,2
488,160,1,0
489,160,3,2
490,164,1,1
491,164,4,0
492,164,2,1
493,175,3,2
494,175,2,1
495,190,1,2
496,190,2,1
497,195,5,1
498,212,2,1
499,212,1,2
500,212,2,1
501,226,0,2
502,104,1,0
503,147,1,0
504,141,3,1
505,68,1,0
506,157,3,2
507,218,2,0
508,21,3,0
509,28,4,1
510,104,1,0
511,157,3,0
512,164,2,1
513,212,4,1
514,28,1,0
515,131,4,0
516,195,1,1
517,28,3,2
518,195,1,0
519,212,2,0
520,31,1,1
521,68,1,0
522,104,0,0
523,131,1,0
524,28,4,2
525,104,4,1
526,218,1,0
527,28,3,1
528,28,4,1
529,196,4,2
530,150,0,0
531,156,5,0
532,157,0,0
533,159,2,1
534,175,3,0
535,176,1,1
536,187,1,0
537,10,5,0
538,10,0,2
539,13,2,0
540,13,1,2
541,13,4,1
542,13,1,0
543,13,1,0
544,14,0,2
545,14,1,1
546,21,1,0
547,21,1,4
548,21,1,1
549,24,1,0
550,24,4,2
551,25,0,1
552,25,0,1
553,28,3,0
554,28,3,2
555,28,1,0
556,31,0,5
557,31,2,0
558,31,1,2
559,35,6,1
560,36,0,2
561,36,0,2
562,41,6,1
563,41,3,0
564,43,1,1
565,43,2,0
566,43,2,0
567,47,2,0
568,47,1,0
569,52,2,3
570,52,3,1
571,52,2,1
572,54,3,1
573,54,2,5
574,54,1,0
575,54,3,0
576,57,1,1
577,57,8,0
578,57,2,0
579,61,0,2
580,61,4,1
581,63,3,0
582,63,1,3
583,65,0,0
584,65,0,0
585,67,1,1
586,67,0,1
587,67,6,1
588,67,4,1
589,67,2,1
590,67,0,1
591,72,4,2
592,72,3,0
593,73,0,0
594,73,0,5
595,73,2,0
596,73,0,3
597,73,0,1
598,73,1,0
599,73,0,1
600,73,1,2
601,76,5,0
602,76,1,0
603,76,7,0
604,77,1,0
605,77,0,0
606,78,1,1
607,78,0,0
608,83,2,1
609,84,1,2
610,84,5,1
611,84,1,0
612,87,2,0
613,87,2,1
614,92,3,0
615,92,3,0
616,92,2,1
617,92,1,0
618,93,4,0
619,93,1,2
620,93,7,2
621,95,6,0
622,95,3,1
623,95,2,1
624,101,4,1
625,101,1,0
626,101,3,0
627,103,1,2
628,103,1,0
629,104,2,0
630,104,2,1
631,104,3,0
632,104,0,1
633,105,3,1
634,105,2,1
635,106,4,1
636,106,0,6
637,117,0,1
638,120,2,1
639,120,2,0
640,120,1,1
641,136,2,2
642,136,0,1
643,136,2,1
644,136,5,0
645,136,3,6
646,136,1,3
647,141,4,2
648,141,4,1
649,141,2,1
650,143,1,0
651,146,1,0
652,146,1,1
653,149,7,0
654,160,0,0
655,164,4,0
656,175,1,1
657,190,2,1
658,192,0,6
659,195,0,5
660,196,0,1
661,196,1,2
662,205,3,1
663,205,3,1
664,206,1,1
665,206,7,1
666,207,1,3
667,207,0,2
668,212,1,1
669,216,1,0
670,216,0,0
671,216,6,1
672,218,3,0
673,218,0,0
674,221,0,2
675,221,2,0
676,221,2,3
677,223,4,0
678,223,1,3
679,226,4,2
680,226,6,1
681,226,2,2
682,227,2,0
683,190,5,3
684,212,4,0
685,192,2,1
686,28,0,0
687,56,0,2
688,104,3,1
689,159,3,2
690,195,0,0
691,218,0,2
692,175,0,0
693,226,9,0
694,10,1,1
695,31,1,1
696,92,0,7
697,141,0,0
698,13,0,0
699,56,0,3
700,175,1,1
701,10,4,1
702,31,1,4
703,159,2,1
704,195,3,0
705,141,4,0
706,195,0,1
707,10,1,2
708,159,2,1
709,141,2,0
710,195,2,1
711,106,0,0
712,131,0,0
713,147,2,1
714,149,5,2
715,149,3,1
716,160,1,0
717,2,3,0
718,2,2,2
719,2,2,1
720,3,4,1
721,8,1,0
722,8,6,0
723,10,1,1
724,10,3,1
725,10,2,2
726,13,0,4
727,13,4,1
728,13,1,1
729,13,1,2
730,13,2,0
731,13,1,0
732,13,2,0
733,13,3,0
734,13,4,0
735,14,1,2
736,14,0,1
737,14,4,2
738,21,4,0
739,21,2,0
740,21,1,2
741,25,1,1
742,25,1,2
743,28,1,3
744,31,1,0
745,31,2,4
746,31,4,0
747,35,3,0
748,36,1,0
749,36,3,1
750,41,2,0
751,41,4,1
752,41,1,3
753,43,0,2
754,43,2,0
755,45,1,3
756,47,0,2
757,48,1,3
758,48,1,1
759,48,4,0
760,52,0,2
761,52,1,3
762,52,1,0
763,54,1,5
764,54,2,1
765,55,1,1
766,56,5,1
767,56,7,0
768,56,2,1
769,56,3,0
770,56,2,0
771,56,0,4
772,57,2,0
773,57,4,1
774,61,3,0
775,63,3,0
776,63,2,0
777,65,0,0
778,65,2,2
779,66,2,1
780,67,1,1
781,68,1,1
782,68,4,0
783,72,4,2
784,72,5,0
785,72,1,0
786,73,2,0
787,73,4,1
788,73,9,0
789,76,1,0
790,76,0,2
791,76,0,0
792,77,2,1
793,77,0,4
794,78,2,0
795,78,0,0
796,78,0,2
797,78,0,0
798,78,2,1
799,78,2,2
800,83,0,3
801,83,1,3
802,83,0,0
803,84,2,5
804,84,0,3
805,87,6,2
806,87,2,1
807,89,1,0
808,89,1,0
809,92,1,0
810,92,3,0
811,92,0,1
812,92,3,0
813,93,9,1
814,93,8,1
815,93,2,1
816,93,2,2
817,93,0,2
818,94,1,1
819,94,1,1
820,94,1,0
821,95,8,0
822,95,0,0
823,95,1,1
824,96,4,2
825,96,2,1
826,96,1,1
827,98,2,2
828,98,2,0
829,99,3,0
830,99,6,0
831,99,2,1
832,99,3,1
833,99,0,0
834,99,3,3
835,100,2,0
836,100,1,1
837,100,0,1
838,100,0,0
839,101,1,0
840,101,2,2
841,103,1,3
842,103,0,1
843,103,2,0
844,103,1,0
845,104,0,5
846,104,1,1
847,104,0,2
848,109,1,1
849,109,0,0
850,115,3,1
851,120,2,1
852,120,2,0
853,128,2,1
854,128,6,0
855,130,3,1
856,131,2,1
857,131,6,2
858,136,1,0
859,141,6,0
860,146,2,1
861,150,4,1
862,150,4,1
863,159,0,2
864,159,2,1
865,160,0,0
866,161,0,2
867,164,0,1
868,164,0,2
869,175,1,0
870,175,3,0
871,176,1,2
872,180,3,3
873,187,1,3
874,187,1,2
875,187,2,2
876,187,4,0
877,187,2,0
878,187,4,0
879,188,0,0
880,190,1,1
881,190,4,1
882,192,3,0
883,195,3,3
884,195,0,4
885,195,3,2
886,195,2,0
887,196,1,1
888,196,0,1
889,196,0,5
890,197,1,4
891,197,6,0
892,197,1,1
893,201,0,2
894,203,0,3
895,205,1,0
896,205,2,1
897,205,3,0
898,205,0,1
899,205,0,0
900,206,3,0
901,206,3,2
902,207,1,0
903,207,5,1
904,207,1,1
905,212,3,0
906,212,0,1
907,212,3,2
908,216,1,1
909,216,1,0
910,218,1,0
911,218,5,0
912,223,12,0
913,223,5,1
914,226,0,0
915,226,3,2
916,226,1,0
917,226,4,0
918,227,2,2
919,227,2,1
920,227,1,2
921,227,1,5
922,227,2,0
923,159,3,2
924,160,4,3
925,10,2,1
926,104,2,1
927,206,3,1
928,14,2,1
929,141,3,0
930,157,3,1
931,195,1,1
932,10,2,1
933,104,3,1
934,159,1,0
935,14,1,0
936,28,0,0
937,141,0,0
938,175,1,1
939,77,3,1
940,104,1,0
941,159,3,1
942,28,1,0
943,157,4,1
944,175,3,2
945,190,1,0
946,10,2,0
947,28,3,0
948,141,5,1
949,10,0,0
950,104,1,0
951,159,1,0
952,10,6,0
953,28,3,1
954,141,2,1
955,28,2,1
956,10,3,1
957,160,2,1
958,106,1,0
959,106,2,0
960,109,0,3
961,110,1,1
962,110,1,0
963,159,1,0
964,3,0,5
965,3,1,0
966,13,1,1
967,13,3,2
968,13,2,0
969,13,4,0
970,13,2,1
971,13,1,0
972,14,0,0
973,14,3,0
974,14,6,0
975,14,5,0
976,17,2,0
977,17,0,0
978,19,2,0
979,21,1,1
980,21,2,1
981,21,1,2
982,25,4,0
983,25,2,2
984,25,2,0
985,28,0,1
986,28,2,0
987,28,1,2
988,28,8,0
989,31,0,1
990,31,0,0
991,35,2,2
992,36,1,0
993,36,2,0
994,36,1,0
995,36,4,1
996,36,0,0
997,36,7,0
998,41,0,2
999,41,2,0
1000,43,0,0
1001,43,5,0
1002,45,0,0
1003,45,1,1
1004,47,1,1
1005,47,0,0
1006,47,11,1
1007,48,4,0
1008,48,0,2
1009,48,1,0
1010,50,2,1
1011,50,2,0
1012,52,3,0
1013,52,0,2
1014,52,2,2
1015,54,1,2
1016,54,0,0
1017,57,0,1
1018,57,1,1
1019,57,3,0
1020,60,1,0
1021,61,4,0
1022,65,0,0
1023,65,3,0
1024,66,6,1
1025,66,1,1
1026,66,1,2
1027,66,1,1
1028,66,4,0
1029,67,2,0
1030,67,1,0
1031,67,1,4
1032,67,1,4
1033,67,2,0
1034,68,4,0
1035,68,3,0
1036,68,2,2
1037,72,3,1
1038,73,2,0
1039,73,0,1
1040,73,1,3
1041,73,0,1
1042,73,2,0
1043,76,2,1
1044,76,1,1
1045,76,6,0
1046,77,9,0
1047,77,3,0
1048,78,1,0
1049,78,2,1
1050,78,3,1
1051,83,0,0
1052,84,3,3
1053,84,2,2
1054,87,0,0
1055,87,1,0
1056,87,3,1
1057,87,2,0
1058,87,0,0
1059,89,0,1
1060,89,1,0
1061,89,0,0
1062,89,4,0
1063,91,1,2
1064,92,2,0
1065,92,2,1
1066,92,0,1
1067,92,2,0
1068,92,1,0
1069,92,0,0
1070,92,2,0
1071,94,1,0
1072,94,3,1
1073,94,3,2
1074,94,2,1
1075,94,1,0
1076,94,0,0
1077,94,1,0
1078,94,2,1
1079,95,2,0
1080,95,4,0
1081,95,1,0
1082,96,2,1
1083,96,1,1
1084,96,4,0
1085,98,1,1
1086,98,0,1
1087,99,2,0
1088,99,0,1
1089,99,4,0
1090,99,2,0
1091,99,0,0
1092,99,0,1
1093,101,2,0
1094,101,4,1
1095,103,3,0
1096,103,2,1
1097,104,0,0
1098,104,4,2
1099,104,2,0
1100,105,6,0
1101,117,1,0
1102,120,1,1
1103,124,2,2
1104,128,1,1
1105,129,1,2
1106,131,1,1
1107,131,1,1
1108,136,0,0
1109,141,1,5
1110,145,1,1
1111,146,2,0
1112,150,2,0
1113,154,0,0
1114,154,1,0
1115,154,2,3
1116,159,2,4
1117,160,1,1
1118,160,1,1
1119,162,1,0
1120,162,1,0
1121,164,1,3
1122,164,2,1
1123,174,2,0
1124,174,3,0
1125,175,2,2
1126,175,2,1
1127,176,2,1
1128,180,2,2
1129,180,0,1
1130,181,0,2
1131,181,1,0
1132,181,1,1
1133,187,3,0
1134,187,2,2
1135,187,1,1
1136,187,0,0
1137,187,3,0
1138,187,1,1
1139,190,1,2
1140,190,1,1
1141,193,2,1
1142,193,1,0
1143,195,1,0
1144,195,2,0
1145,196,5,0
1146,196,2,2
1147,197,0,3
1148,197,3,3
1149,199,1,2
1150,199,3,0
1151,202,1,1
1152,203,2,0
1153,203,1,8
1154,205,0,4
1155,205,1,1
1156,206,4,1
1157,206,2,1
1158,206,1,2
1159,206,1,4
1160,206,7,1
1161,207,2,0
1162,207,1,1
1163,207,1,0
1164,212,2,0
1165,212,1,5
1166,213,2,1
1167,216,2,0
1168,216,2,1
1169,217,2,0
1170,217,0,0
1171,218,1,1
1172,218,1,1
1173,221,3,1
1174,221,7,0
1175,223,2,1
1176,223,2,0
1177,226,1,1
1178,226,2,0
1179,227,3,0
1180,227,2,1
1181,227,7,0
1182,146,1,0
1183,149,0,2
1184,150,1,1
1185,156,0,2
1186,157,4,2
1187,157,0,1
1188,10,0,1
1189,28,2,1
1190,104,0,0
1191,95,10,1
1192,157,0,0
1193,175,5,2
1194,68,3,1
1195,190,1,1
1196,41,0,1
1197,54,1,1
1198,226,0,0
1199,10,4,1
1200,28,4,1
1201,104,1,1
1202,21,1,0
1203,159,0,0
1204,212,3,0
1205,68,2,0
1206,190,2,1
1207,3,0,2
1208,77,4,1
1209,93,1,1
1210,21,1,1
1211,159,5,1
1212,212,2,2
1213,10,2,0
1214,28,4,0
1215,104,1,1
1216,3,3,2
1217,77,1,1
1218,93,0,1
1219,68,1,0
1220,149,1,0
1221,14,0,1
1222,159,3,0
1223,104,2,1
1224,14,2,2
1225,21,0,1
1226,10,1,3
1227,77,4,1
1228,159,0,0
1229,104,3,2
1230,190,0,0
1231,159,0,2
1232,159,3,2
1233,98,0,0
1234,100,6,0
1235,101,0,0
1236,2,1,4
1237,2,1,2
1238,2,4,1
1239,2,0,1
1240,3,2,2
1241,3,0,2
1242,3,0,1
1243,3,0,2
1244,13,0,1
1245,13,6,4
1246,13,0,1
1247,13,0,3
1248,14,0,0
1249,14,3,1
1250,14,3,1
1251,14,2,1
1252,17,4,1
1253,21,8,1
1254,21,1,0
1255,21,4,1
1256,21,3,0
1257,25,1,1
1258,25,6,0
1259,28,4,0
1260,28,4,0
1261,31,1,1
1262,31,0,1
1263,31,2,2
1264,31,3,0
1265,35,0,1
1266,35,2,1
1267,35,2,0
1268,35,6,2
1269,36,2,1
1270,36,0,1
1271,36,1,0
1272,36,3,2
1273,41,1,1
1274,41,5,0
1275,42,1,1
1276,42,2,0
1277,42,2,4
1278,42,4,0
1279,42,3,1
1280,42,4,1
1281,43,1,1
1282,43,4,0
1283,47,5,0
1284,47,1,0
1285,47,0,2
1286,47,2,0
1287,50,2,0
1288,50,0,2
1289,50,1,0
1290,50,1,1
1291,52,5,1
1292,52,0,0
1293,52,1,0
1294,52,1,0
1295,54,4,6
1296,54,3,0
1297,54,0,3
1298,54,3,1
1299,56,1,1
1300,56,0,0
1301,56,0,0
1302,57,1,1
1303,57,2,2
1304,57,3,2
1305,57,1,0
1306,61,2,0
1307,61,1,2
1308,65,2,0
1309,65,0,0
1310,66,5,2
1311,67,2,1
1312,67,1,0
1313,67,0,0
1314,67,1,0
1315,67,2,2
1316,68,3,1
1317,68,4,0
1318,68,1,0
1319,68,2,0
1320,72,0,0
1321,73,1,0
1322,73,6,0
1323,73,2,0
1324,73,0,0
1325,73,2,0
1326,73,2,1
1327,73,0,0
1328,73,2,0
1329,73,2,0
1330,73,2,0
1331,75,2,1
1332,75,1,0
1333,75,0,1
1334,75,1,2
1335,76,0,6
1336,76,1,1
1337,76,1,1
1338,76,3,2
1339,77,0,2
1340,77,2,0
1341,77,4,0
1342,77,4,1
1343,78,3,1
1344,78,1,1
1345,80,1,1
1346,84,0,0
1347,84,3,0
1348,84,0,1
1349,84,1,2
1350,85,0,1
1351,87,1,2
1352,87,3,1
1353,87,2,1
1354,87,3,0
1355,89,1,1
1356,89,9,0
1357,89,1,0
1358,91,1,0
1359,91,0,2
1360,91,3,0
1361,92,2,2
1362,92,4,0
1363,92,2,0
1364,92,0,2
1365,93,1,3
1366,93,2,3
1367,93,1,1
1368,93,1,0
1369,93,3,0
1370,93,2,0
1371,93,0,2
1372,93,0,2
1373,93,8,0
1374,94,6,0
1375,94,1,1
1376,94,1,0
1377,94,2,1
1378,95,0,1
1379,95,0,0
1380,95,4,2
1381,96,2,1
1382,96,1,1
1383,101,2,1
1384,101,3,0
1385,101,1,1
1386,103,0,0
1387,103,0,1
1388,104,1,3
1389,104,3,0
1390,104,1,3
1391,106,1,0
1392,109,1,2
1393,115,2,4
1394,116,0,1
1395,117,1,1
1396,120,1,0
1397,120,3,1
