id_match,result,date,round,city,edition,is_final
128,95,1954-06-27,Quarter-finals,Bern,1954,True
129,95,1954-06-30,Semi-finals,Lausanne,1954,True
130,14,1954-07-03,Match for third place,Zurich,1954,True
131,103,,Group,Curitiba,1954,True
132,104,,Group,Belo Horizonte,1954,True
133,120,,Group,Recife,1954,True
134,73,,Preliminary round,Beograd,1954,False
135,0,,Preliminary round,Antwerpen,1954,False
136,73,,Preliminary round,Mexico D.F,1954,False
137,0,,Preliminary round,Beograd,1954,False
138,73,,Preliminary round,Firenze,1954,False
139,76,,Preliminary round,Praha,1954,False
140,76,,Preliminary round,Athina,1954,False
141,77,,Preliminary round,Budapest,1954,False
142,120,,Preliminary round,Luxembourg,1954,False
143,103,,Preliminary round,Tel Aviv,1954,False
144,92,,Preliminary round,Milano,1954,False
145,73,,Preliminary round,Mexico D.F,1954,False
146,95,,Preliminary round,Ankara,1954,False
147,101,,Preliminary round,Beograd,1954,False
148,120,,Preliminary round,Mexico D.F,1954,False
149,0,,Preliminary round,Mexico D.F,1954,False
150,131,,Preliminary round,Manchester,1954,False
151,0,,Preliminary round,Helsinki,1954,False
152,0,,Preliminary round,Paris,1954,False
153,150,,Preliminary round,Dublin,1954,False
154,14,,Preliminary round,Dublin,1954,False
155,31,,Preliminary round,Tel Aviv,1954,False
156,54,,Preliminary round,Luxembourg,1954,False
157,167,,Preliminary round,Mexico D.F,1954,False
158,175,,Preliminary round,Mexico D.F,1954,False
159,21,,Preliminary round,Belfast,1954,False
160,195,,Preliminary round,Glasgow,1954,False
161,187,,Preliminary round,Cardiff,1954,False
162,216,,Preliminary round,La_Paz,1954,False
163,223,,Preliminary round,Malmo,1954,False
164,0,,Preliminary round,Lisboa,1954,False
165,226,,Preliminary round,Stockholm,1954,False
166,226,,Preliminary round,Zurich,1954,False
167,28,1958-06-08,Group,Uddevalla,1958,True
168,77,1958-06-08,Group,Norrkoping,1958,True
169,0,1958-06-08,Group,Sandviken,1958,True
170,149,1958-06-08,Group,Halmstad,1958,True
171,195,1958-06-08,Group,Stockholm,1958,True
172,0,1958-06-08,Group,Vasteras,1958,True
173,10,1958-06-11,Group,Halmstad,1958,True
174,0,1958-06-11,Group,Goteborg,1958,True
175,156,1958-06-11,Group,Norrkoping,1958,True
176,212,1958-06-11,Group,Boras,1958,True
177,226,1958-06-11,Group,Vasteras,1958,True
178,195,1958-06-12,Group,Stockholm,1958,True
179,28,1958-06-15,Group,Goteborg,1958,True
180,54,1958-06-15,Group,Helsingborg,1958,True
181,0,1958-06-15,Group,Boras,1958,True
182,77,1958-06-15,Group,Orebro,1958,True
183,95,1958-06-15,Group,Sandviken,1958,True
184,0,1958-06-15,Group,Stockholm,1958,True
185,149,1958-06-17,Group,Malmo,1958,True
186,212,1958-06-17,Group,Goteborg,1958,True
187,223,1958-06-17,Group,Stockholm,1958,True
188,28,1958-06-19,Quarter-finals,Goteborg,1958,True
189,77,1958-06-19,Quarter-finals,Norrkoping,1958,True
190,195,1958-06-19,Quarter-finals,Stockholm,1958,True
191,28,1958-06-24,Semi-finals,Stockholm,1958,True
192,28,1958-06-29,Final,Stockholm,1958,True
193,159,,Final,Bern,1958,True
194,95,,Group,Zurich,1958,True
195,96,,Group,Bern,1958,True
196,96,,Group,Basel,1958,True
197,98,,Group,Geneve,1958,True
198,98,,Group,Zurich,1958,True
199,0,,Preliminary round,Bruxelles,1958,False
200,10,,Preliminary round,Bruxelles,1958,False
201,120,,Preliminary round,Glasgow,1958,False
202,141,,Preliminary round,Sofija,1958,False
203,77,,Preliminary round,Sofija,1958,False
204,0,,Preliminary round,Bratislava,1958,False
205,25,,Preliminary round,Praha,1958,False
206,41,,Preliminary round,Cairo,1958,False
207,28,,Preliminary round,Liverpool,1958,False
208,31,,Preliminary round,Hamburg,1958,False
209,31,,Preliminary round,Stuttgart,1958,False
210,131,,Preliminary round,Helsinki,1958,False
211,0,,Preliminary round,Helsinki,1958,False
212,41,,Preliminary round,Paris,1958,False
213,41,,Preliminary round,Paris,1958,False
214,42,,Preliminary round,Athina,1958,False
215,156,,Preliminary round,Port-au-Prince,1958,False
216,218,,Preliminary round,Dublin,1958,False
217,47,,Preliminary round,Dublin,1958,False
218,87,,Preliminary round,Luxembourg,1958,False
219,47,,Preliminary round,Mexico D.F,1958,False
220,47,,Preliminary round,Belfast,1958,False
221,0,,Preliminary round,Oslo,1958,False
222,78,,Preliminary round,Oslo,1958,False
223,0,,Preliminary round,Lisboa,1958,False
224,57,,Preliminary round,Bucuresti,1958,False
225,101,,Preliminary round,Bucuresti,1958,False
226,68,,Preliminary round,Madrid,1958,False
227,0,,Preliminary round,Saarbrucken,1958,False
228,68,,Preliminary round,Wien,1958,False
229,73,,Preliminary round,Wolverhampton,1958,False
230,73,,Preliminary round,Paris,1958,False
231,73,,Preliminary round,Dublin,1958,False
232,0,,Preliminary round,Bruxelles,1958,False
233,0,,Preliminary round,Glasgow,1958,False
234,212,,Preliminary round,Stockholm,1958,False
235,0,,Preliminary round,Wrexham,1958,False
236,77,,Preliminary round,La_Paz,1958,False
237,77,,Preliminary round,Stockholm,1958,False
238,54,,Preliminary round,Cardiff,1958,False
239,78,,Preliminary round,Beograd,1958,False
240,84,,Preliminary round,Skopje,1958,False
241,101,,Preliminary round,Wien,1958,False
