id_match,id_team,Number_of_goals_scored,Number_of_goals_conceded
397,102,2,1
398,10,6,3
399,155,2,1
400,21,0,3
401,21,1,4
402,102,3,0
403,43,4,4
404,65,2,0
405,65,1,2
406,41,1,1
407,65,1,6
408,63,9,0
409,104,0,3
410,130,1,2
411,204,2,2
412,61,4,3
413,104,1,2
414,81,0,2
415,194,1,2
416,159,3,3
417,163,2,0
418,206,1,1
419,83,1,3
420,211,0,1
421,50,0,1
422,104,0,1
423,47,0,6
424,204,0,1
425,41,0,1
426,43,1,7
427,103,2,4
428,158,0,2
429,174,0,0
430,119,1,4
431,225,0,2
432,14,3,2
433,94,1,2
434,52,0,4
435,211,1,2
436,130,2,0
437,215,1,5
438,14,3,2
439,77,1,1
440,189,0,0
441,21,1,2
442,31,0,2
443,158,3,3
444,174,3,1
445,47,3,0
446,50,0,1
447,61,4,2
448,130,0,6
449,225,2,0
450,47,2,4
451,92,1,4
452,104,0,7
453,215,0,1
454,148,0,1
455,195,1,0
456,13,1,1
457,2,3,0
458,140,0,2
459,76,3,0
460,119,1,0
461,225,0,0
462,10,1,1
463,25,1,1
464,217,1,1
465,220,0,6
466,75,2,3
467,103,1,4
468,174,3,1
469,54,2,5
470,163,0,1
471,206,2,3
472,54,1,1
473,159,0,4
474,206,1,2
475,103,2,3
476,158,1,2
477,100,2,1
478,100,1,2
479,52,1,5
480,57,1,2
481,83,2,1
482,222,1,2
483,47,0,1
484,217,0,0
485,31,0,2
486,189,1,2
487,130,1,1
488,41,0,2
489,94,1,3
490,28,1,3
491,195,1,2
492,76,1,2
493,130,0,2
494,31,0,3
495,103,0,1
496,195,0,2
497,28,1,3
498,76,0,2
499,31,1,3
500,41,1,2
501,10,0,1
502,94,1,2
503,159,1,2
504,211,1,2
505,81,2,0
506,75,0,1
507,225,1,1
508,36,0,1
509,215,2,4
510,140,0,2
511,145,1,6
512,24,2,0
513,215,2,0
514,92,0,2
515,104,0,1
516,81,1,3
517,174,1,2
518,57,1,3
519,54,1,1
520,63,2,0
521,67,1,4
522,61,0,3
523,67,3,1
524,61,1,1
525,63,1,0
526,21,0,5
527,149,0,1
528,159,2,1
529,204,1,2
530,86,0,3
531,204,1,2
532,47,0,4
533,104,2,7
534,47,1,3
535,92,1,2
536,140,0,2
537,175,1,0
538,35,0,1
539,206,0,7
540,163,0,0
541,195,0,4
542,14,1,1
543,21,1,2
544,226,6,0
545,149,5,0
546,83,1,0
547,86,1,3
548,91,1,3
549,3,1,1
550,148,3,1
551,24,0,1
552,36,0,0
553,103,3,1
554,75,1,6
555,189,2,2
556,191,0,2
557,135,2,4
558,191,0,0
559,76,1,2
560,194,0,5
561,43,0,0
562,220,1,1
563,10,0,1
564,31,0,3
565,25,0,5
566,156,2,0
567,102,0,2
568,105,2,1
569,162,1,4
570,162,0,1
571,186,0,1
572,174,1,1
573,189,4,1
574,10,1,0
575,156,1,0
576,43,0,3
577,155,2,3
578,220,0,1
579,119,5,0
580,158,2,1
581,65,1,6
582,217,0,3
583,28,1,1
584,155,0,2
585,220,0,2
586,14,3,2
587,94,5,2
588,94,0,1
589,100,0,3
590,94,0,8
591,100,0,2
592,41,0,0
593,217,0,0
594,91,1,6
595,91,1,4
596,92,1,2
597,92,1,0
598,116,2,4
599,191,0,3
600,189,0,1
601,225,0,7
602,194,0,0
603,103,1,1
604,222,0,0
605,14,0,0
606,52,0,2
607,174,1,0
608,145,1,2
609,163,1,5
610,195,0,1
611,91,0,2
612,67,0,3
613,215,0,1
614,67,2,1
615,54,0,6
616,57,1,3
617,100,1,2
618,54,1,4
619,57,0,1
620,94,0,3
621,13,2,1
622,142,0,1
623,77,1,2
624,222,1,0
625,13,1,4
626,186,6,0
627,72,1,0
628,31,1,2
629,158,1,1
630,145,2,2
631,175,1,2
632,191,0,5
633,205,6,3
634,205,3,1
635,31,2,4
636,119,1,4
637,158,1,2
638,102,0,1
639,82,1,1
640,163,2,1
641,135,1,7
642,211,2,0
643,91,1,6
644,41,0,3
645,65,0,0
646,28,2,0
647,43,0,2
648,155,3,2
649,77,0,4
650,21,2,4
651,28,0,4
652,25,3,5
653,211,1,2
654,163,0,1
655,31,2,3
656,102,0,2
657,67,0,3
658,54,1,4
659,194,0,1
660,135,0,3
661,54,1,2
662,21,1,4
663,68,0,1
664,67,0,4
665,102,1,1
666,163,2,3
667,217,0,1
668,67,0,2
669,135,1,1
670,54,0,1
671,102,0,0
672,21,0,1
673,156,2,4
674,130,1,4
675,211,0,1
676,217,1,3
677,103,1,4
678,31,1,1
679,68,0,3
680,135,1,0
681,156,5,0
682,217,0,1
683,81,3,0
684,217,0,2
685,130,2,1
686,94,0,6
687,88,1,4
688,63,0,1
689,204,0,6
690,94,2,1
691,127,1,0
692,194,2,4
693,95,0,4
694,140,0,2
695,148,4,2
696,130,0,1
697,215,1,3
698,145,3,1
699,92,2,0
700,179,1,1
701,31,2,0
702,159,0,1
703,82,1,1
704,202,0,2
705,174,1,4
706,8,0,3
707,204,0,2
708,205,1,2
709,86,1,1
710,200,2,4
711,200,0,5
712,2,0,1
713,163,0,0
714,211,4,0
715,75,0,0
716,55,3,0
717,67,2,6
718,3,0,1
719,160,1,0
720,47,1,9
721,127,0,0
722,21,2,4
723,76,0,1
724,211,2,2
725,129,1,1
726,191,0,0
727,226,1,3
