team_canonical,team_clean_example,canonical_key,iso2,iso3,team_id
Peru,Peru,peru,,,156
Philippines,Philippines,philippines,,,157
Poland,Poland,poland,,,158
Portugal,Portugal,portugal,,,159
Puerto Rico,Puerto Rico,puertorico,,,160
Qatar,Qatar,qatar,,,161
Rhodesia,Rhodesia,rhodesia,,,162
Romania,Romania,romania,,,163
Russia,Russia,russia,RU,RUS,164
Rwanda,Rwanda,rwanda,,,165
Saarland,Saarland,saarland,,,166
Saint Kitts & Nevis,Saint Kitts & Nevis,saintkittsnevis,,,167
Saint Lucia,Saint Lucia,saintlucia,,,168
Saint Vincent & The Grenadines,Saint Vincent & The Grenadines,saintvincentthegrenadines,,,169
Samoa,Samoa,samoa,,,170
San Marino,San Marino,sanmarino,,,171
Sao Tome e Principe,São Tomé e Príncipe,saotomeeprincipe,,,172
Saudi Arabia,Saudi Arabia,saudiarabia,,,173
Scotland,Scotland,scotland,,,174
Senegal,Senegal,senegal,,,175
Serbia,Serbia,serbia,,,176
Serbia-Montenegro,Serbia-Montenegro,serbiamontenegro,,,177
Seychelles,Seychelles,seychelles,,,178
Sierra Leone,Sierra Leone,sierraleone,,,179
Singapore,Singapore,singapore,,,180
Slovakia,Slovakia,slovakia,,,181
Slovenia,Slovenia,slovenia,,,182
Solomon Islands,Solomon Islands,solomonislands,,,183
Somalia,Somalia,somalia,,,184
South Africa,South Africa,southafrica,,,185
South Korea,South Korea,southkorea,KR,KOR,186
South Vietnam,South Vietnam,southvietnam,,,187
South Yemen,South Yemen,southyemen,,,188
Spain,Spain,spain,,,189
Sri Lanka,Sri Lanka,srilanka,,,190
Sudan,Sudan,sudan,,,191
Surinam,Surinam,surinam,,,192
Swaziland,Swaziland,swaziland,,,193
Sweden,Sweden,sweden,,,194
Switzerland,Switzerland,switzerland,,,195
Syria,Syria,syria,,,196
Tahiti,Tahiti,tahiti,,,197
Taiwan,Taiwan,taiwan,,,198
Tajikistan,Tajikistan,tajikistan,,,199
Tanzania,Tanzania,tanzania,,,200
Thailand,Thailand,thailand,,,201
Togo,Togo,togo,,,202
Tonga,Tonga,tonga,,,203
Trinidad and Tobago,Trinidad and Tobago,trinidadandtobago,,,204
Tunisia,Tunisia,tunisia,,,205
Turkey,Turkey,turkey,,,206
Turkmenistan,Turkmenistan,turkmenistan,,,207
Turks and Caicos,Turks and Caicos,turksandcaicos,,,208
Tuvalu,Tuvalu,tuvalu,,,209
US Virgin Islands,US Virgin Islands,usvirginislands,,,210
